run,card_id,card_frequency
0,20,3
0,16,3
0,22,2
0,45,4
0,15,6
0,12,5
0,42,4
0,4,4
0,23,5
0,14,4
0,21,3
0,17,1
0,26,5
0,11,3
0,10,3
0,28,4
0,1,4
0,41,3
0,44,2
0,29,2
0,38,2
0,7,1
0,46,1
0,43,1
0,40,3
0,24,2
0,9,3
0,36,4
0,3,3
0,5,1
0,47,2
0,13,2
0,19,2
0,48,1
0,25,2
1,9,5
1,30,3
1,36,3
1,41,5
1,26,2
1,42,3
1,38,3
1,12,2
1,13,4
1,1,3
1,24,1
1,46,2
1,2,5
1,4,3
1,29,2
1,43,1
1,39,2
1,45,2
1,16,5
1,25,3
1,14,1
1,37,2
1,40,4
1,11,2
1,15,2
1,5,4
1,23,3
1,7,2
1,20,2
1,10,2
1,44,2
1,47,1
1,28,2
1,6,5
1,27,1
1,18,1
1,21,1
1,3,2
1,8,1
1,17,1
2,43,3
2,15,4
2,20,4
2,48,2
2,23,6
2,22,2
2,16,5
2,13,3
2,26,2
2,8,3
2,40,3
2,25,4
2,14,4
2,2,5
2,10,2
2,5,4
2,28,4
2,3,3
2,42,2
2,4,3
2,38,2
2,17,2
2,46,2
2,7,2
2,12,3
2,27,2
2,9,2
2,44,1
2,36,1
2,11,1
2,41,3
2,37,1
2,39,2
2,45,2
2,24,2
2,18,1
2,29,2
2,30,1
3,3,2
3,25,3
3,15,5
3,9,3
3,43,2
3,41,3
3,11,4
3,1,4
3,10,4
3,14,3
3,42,5
3,39,2
3,12,1
3,26,4
3,37,7
3,5,4
3,17,1
3,45,3
3,6,1
3,36,1
3,28,3
3,23,3
3,22,2
3,29,3
3,21,2
3,48,1
3,2,2
3,40,3
3,8,2
3,19,1
3,4,4
3,13,4
3,7,2
3,47,1
3,27,1
3,24,2
3,16,1
3,44,1
4,21,4
4,16,7
4,7,1
4,10,3
4,25,6
4,26,2
4,27,3
4,36,2
4,28,2
4,38,2
4,8,1
4,22,1
4,1,4
4,48,3
4,3,4
4,43,2
4,9,2
4,4,3
4,40,3
4,29,1
4,5,4
4,2,3
4,41,3
4,44,1
4,12,3
4,11,3
4,23,3
4,17,2
4,20,2
4,39,2
4,13,2
4,47,2
4,24,1
4,45,1
4,42,1
4,37,2
4,14,3
4,46,2
4,30,2
4,6,2
5,37,2
5,29,3
5,27,3
5,13,4
5,43,1
5,15,5
5,1,3
5,10,6
5,2,4
5,9,2
5,20,2
5,11,5
5,26,3
5,41,1
5,4,4
5,44,2
5,42,3
5,25,4
5,22,3
5,16,3
5,8,1
5,23,4
5,5,2
5,14,3
5,40,2
5,28,1
5,17,2
5,12,5
5,38,1
5,48,1
5,39,2
5,47,1
5,24,2
5,46,2
5,36,1
5,18,1
5,6,1
5,45,1
5,3,2
5,19,1
5,7,1
6,26,2
6,25,3
6,12,1
6,10,4
6,9,5
6,27,2
6,8,2
6,45,2
6,20,2
6,36,1
6,42,3
6,5,5
6,37,3
6,41,3
6,1,1
6,4,4
6,43,1
6,47,1
6,7,4
6,14,3
6,24,6
6,38,1
6,29,2
6,2,3
6,11,5
6,22,2
6,44,3
6,28,4
6,39,2
6,40,3
6,15,3
6,23,5
6,13,1
6,19,1
6,3,2
6,17,1
6,6,1
6,18,1
6,16,2
7,36,4
7,13,4
7,9,3
7,14,3
7,25,5
7,29,2
7,5,4
7,40,3
7,1,3
7,6,3
7,26,3
7,8,2
7,44,1
7,23,1
7,4,5
7,15,4
7,17,2
7,16,3
7,37,2
7,28,2
7,45,1
7,11,2
7,48,2
7,38,2
7,22,4
7,43,3
7,47,3
7,30,1
7,41,2
7,39,1
7,12,1
7,21,2
7,27,2
7,3,2
7,19,1
7,20,4
7,42,1
7,18,1
7,10,3
7,24,1
7,2,2
8,15,5
8,12,2
8,3,4
8,14,6
8,10,5
8,46,3
8,1,6
8,45,1
8,41,2
8,13,5
8,44,2
8,40,2
8,9,7
8,26,2
8,16,7
8,6,2
8,29,1
8,38,1
8,19,1
8,11,4
8,25,2
8,37,3
8,5,3
8,28,2
8,8,1
8,39,1
8,30,2
8,4,3
8,36,1
8,42,2
8,21,2
8,20,3
8,22,2
8,23,1
8,27,1
8,24,1
8,17,1
8,7,1
9,39,3
9,2,6
9,11,4
9,13,1
9,15,4
9,8,1
9,28,2
9,9,6
9,20,3
9,12,1
9,4,3
9,25,4
9,3,3
9,40,3
9,16,5
9,30,1
9,45,2
9,14,3
9,21,2
9,10,3
9,41,4
9,23,3
9,22,2
9,18,2
9,44,2
9,43,1
9,17,2
9,26,2
9,37,2
9,38,3
9,7,1
9,48,2
9,24,2
9,46,1
9,5,4
9,6,2
9,36,2
9,42,1
9,47,1
9,27,1
10,45,1
10,8,3
10,9,4
10,13,4
10,23,3
10,1,3
10,16,7
10,27,3
10,4,4
10,6,5
10,24,3
10,11,5
10,12,4
10,44,3
10,36,2
10,10,3
10,46,1
10,48,2
10,14,4
10,21,1
10,20,4
10,47,2
10,5,3
10,37,2
10,2,1
10,29,2
10,25,3
10,18,1
10,15,2
10,26,5
10,3,3
10,40,1
10,41,2
10,43,1
10,22,2
10,39,1
11,23,4
11,1,4
11,7,1
11,13,5
11,20,3
11,28,1
11,14,5
11,4,6
11,26,6
11,15,3
11,46,3
11,16,2
11,6,2
11,41,6
11,36,4
11,10,4
11,37,3
11,21,2
11,27,1
11,22,2
11,9,3
11,40,2
11,25,3
11,5,3
11,39,4
11,48,2
11,12,4
11,3,1
11,38,2
11,2,2
11,43,1
11,42,1
11,8,2
11,11,1
11,29,1
11,30,1
12,11,4
12,44,5
12,28,2
12,36,2
12,1,2
12,48,2
12,10,5
12,23,4
12,45,2
12,25,4
12,29,2
12,9,4
12,4,4
12,38,4
12,20,1
12,40,2
12,12,2
12,43,2
12,22,4
12,27,2
12,16,5
12,26,3
12,3,3
12,37,2
12,24,2
12,39,2
12,5,3
12,13,4
12,18,1
12,8,2
12,17,1
12,14,2
12,15,4
12,21,1
12,42,1
12,46,1
12,30,2
12,2,1
12,6,1
13,22,3
13,4,4
13,20,4
13,9,5
13,5,3
13,44,3
