run,turn,card_id,choice,resources,security,moral,progress
0,0,20,1,50,55,35,50
0,1,16,1,50,55,25,50
0,2,22,0,45,55,30,50
0,3,45,0,45,55,30,55
0,4,15,1,45,60,30,55
0,5,12,1,50,60,30,55
0,6,42,0,42,60,30,65
0,7,4,0,27,65,30,65
0,8,23,0,22,55,30,70
0,9,14,1,22,60,30,70
0,10,21,0,17,60,45,70
0,11,17,0,-3,70,45,70
0,12,26,0,-8,70,45,75
0,13,15,1,-8,75,45,75
0,14,11,0,-13,75,45,77
0,15,23,0,-18,65,45,82
0,16,10,0,-23,70,45,82
0,17,42,0,-31,70,45,92
0,18,28,0,-41,70,55,92
0,19,11,1,-36,70,55,92
0,20,1,0,-26,70,40,92
0,21,23,0,-31,60,40,97
0,22,14,0,-31,60,40,102
0,23,41,0,-41,70,40,102
0,24,42,0,-49,70,40,112
0,25,12,0,-54,80,40,112
0,26,45,0,-54,80,40,117
0,27,10,0,-59,85,40,117
0,28,11,0,-64,85,40,119
0,29,44,1,-59,85,40,119
0,30,21,1,-59,90,25,119
0,31,26,1,-49,90,20,119
0,32,29,1,-49,105,0,119
0,33,15,1,-49,110,0,119
0,34,28,0,-59,110,10,119
0,35,38,1,-54,110,10,119
0,36,7,1,-49,110,10,114
0,37,46,1,-44,110,10,109
0,38,43,0,-24,110,0,109
0,39,40,1,-24,100,10,109
0,40,24,0,-29,100,15,109
0,41,9,1,-24,100,15,109
0,42,36,1,-24,105,15,104
0,43,16,1,-24,105,5,104
0,44,41,1,-19,95,5,104
0,45,3,1,-26,95,5,109
0,46,21,1,-26,100,-10,109
0,47,20,0,-31,100,5,109
0,48,5,0,-36,100,10,109
0,49,15,1,-36,105,10,109
0,50,47,0,-11,105,10,109
0,51,13,0,-11,105,10,114
0,52,36,0,-11,100,10,116
0,53,40,1,-11,90,20,116
0,54,3,1,-18,90,20,121
0,55,14,1,-18,95,20,121
0,56,26,1,-8,95,15,121
0,57,36,1,-8,100,15,116
