run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,46,54,22,103,-15,136
1,43,57,35,195,-5,142
2,41,59,112,95,-30,65
3,43,57,-71,170,-20,95
4,43,57,123,135,-110,124
5,47,53,81,145,-50,103
6,45,55,101,225,-95,91
7,47,53,-40,143,100,149
8,41,59,-20,130,20,141
9,45,55,86,80,25,143
10,45,55,131,210,-115,99
11,44,56,303,95,-45,78
12,48,52,52,135,-15,116
13,46,54,79,70,-50,148
14,45,55,28,150,25,156
15,43,57,185,35,70,103
16,40,60,139,180,-40,99
17,48,52,133,128,-60,132
18,43,57,70,183,-155,115
19,47,53,58,145,-40,150
20,47,53,94,158,15,46
21,47,53,45,60,55,101
22,40,60,204,170,-90,92
23,44,56,72,85,30,79
24,41,59,109,165,-15,120
25,46,54,74,220,-105,113
26,41,59,55,205,-50,45
27,44,56,-9,135,-25,149
28,44,56,72,163,-60,112
29,43,57,119,115,0,95
30,43,57,93,208,-115,125
31,44,56,114,135,-30,56
32,44,56,92,155,-25,132
33,43,57,47,170,-65,127
34,42,58,123,225,-110,60
35,43,57,76,190,-55,139
36,39,61,-8,125,5,165
37,41,59,-30,225,-50,115
38,44,56,100,235,-155,86
39,45,55,-6,110,115,127
40,43,57,46,195,-65,88
41,45,55,121,190,-95,79
42,42,58,19,195,-15,154
43,44,56,172,115,-75,62
44,46,54,121,135,10,111
45,48,52,44,213,-60,118
46,45,55,164,150,-130,104
47,42,58,189,100,-15,121
48,44,56,49,225,-25,96
49,42,58,142,210,-125,71
50,43,57,-70,140,-10,182
51,43,57,73,115,10,157
52,46,54,-28,190,-65,149
53,44,56,91,195,-75,91
54,39,61,84,165,-65,138
55,48,52,97,185,50,78
56,44,56,-49,225,0,96
57,45,55,103,198,-80,91
58,45,55,29,225,-25,82
59,42,58,27,165,25,117
60,40,60,143,210,-155,102
61,48,52,139,205,-80,109
62,45,55,142,230,-95,81
63,50,50,-30,120,80,137
64,46,54,184,130,-40,75
65,47,53,125,185,-90,141
66,45,55,89,170,-125,174
67,47,53,150,125,-90,119
68,46,54,114,115,-65,169
69,43,57,154,20,65,90
70,44,56,-25,135,40,109
71,42,58,83,85,-40,127
72,48,52,16,188,-60,142
73,43,57,33,200,-120,146
74,43,57,76,205,-70,131
75,45,55,205,140,-135,48
76,40,60,-33,150,-15,174
77,45,55,12,173,-45,114
78,44,56,-32,173,-40,171
79,42,58,-22,120,-110,153
80,47,53,50,135,65,207
81,41,59,-7,205,-10,121
82,41,59,-23,140,-15,189
83,42,58,146,105,-120,127
84,41,59,165,140,-65,68
85,46,54,126,195,-45,67
86,42,58,82,95,-60,108
87,46,54,-83,205,30,169
88,45,55,116,150,-90,85
89,45,55,24,230,-90,116
90,47,53,-45,185,-5,107
91,43,57,-17,175,-10,49
92,39,61,57,185,-85,84
93,42,58,-9,118,-10,122
94,43,57,97,205,-200,144
95,44,56,53,198,-75,120
96,47,53,17,250,-25,80
97,44,56,41,175,-30,135
98,42,58,-25,80,115,121
99,50,50,40,133,45,113
