run,card_id,card_frequency
0,22,4
0,5,5
0,26,6
0,46,3
0,7,3
0,4,5
0,37,3
0,14,2
0,25,2
0,3,4
0,48,3
0,20,4
0,36,3
0,39,3
0,12,3
0,38,4
0,44,2
0,1,3
0,16,3
0,15,2
0,13,3
0,29,1
0,42,3
0,27,2
0,40,3
0,21,1
0,10,2
0,17,1
0,23,6
0,45,2
0,24,1
0,2,2
0,8,1
0,11,1
0,41,2
0,28,1
0,9,1
1,40,2
1,3,6
1,10,8
1,1,6
1,16,2
1,45,2
1,41,3
1,4,5
1,42,3
1,24,1
1,27,2
1,20,3
1,12,6
1,9,3
1,46,2
1,29,2
1,22,6
1,25,2
1,38,3
1,21,2
1,28,3
1,26,1
1,5,4
1,44,3
1,48,1
1,11,2
1,23,2
1,37,1
1,13,3
1,19,1
1,7,1
1,47,3
1,36,2
1,15,2
1,2,1
1,39,1
2,26,7
2,12,5
2,29,2
2,13,5
2,1,4
2,45,3
2,11,3
2,25,2
2,9,3
2,8,1
2,19,2
2,22,3
2,2,6
2,21,3
2,38,2
2,44,2
2,46,1
2,39,2
2,16,3
2,24,2
2,28,1
2,10,1
2,3,3
2,27,1
2,41,3
2,6,3
2,43,2
2,42,5
2,5,2
2,15,2
2,20,4
2,14,3
2,18,2
2,36,1
2,4,2
2,47,3
2,17,1
3,20,3
3,22,3
3,29,2
3,16,10
3,5,4
3,8,6
3,12,6
3,3,6
3,39,1
3,4,2
3,2,2
3,10,4
3,36,1
3,40,3
3,13,3
3,45,2
3,28,2
3,24,5
3,23,3
3,41,1
3,37,3
3,42,3
3,1,2
3,19,2
3,38,2
3,47,1
3,6,2
3,14,2
3,15,5
3,21,1
3,7,1
3,11,1
3,9,3
3,26,1
3,46,1
3,27,1
4,40,2
4,23,8
4,5,4
4,27,4
4,12,10
4,48,2
4,1,3
4,10,5
4,29,2
4,25,2
4,3,3
4,6,1
4,26,3
4,18,1
4,41,4
4,13,3
4,9,4
4,22,5
4,44,2
4,4,4
4,2,2
4,17,3
4,16,4
4,15,3
4,20,2
4,24,2
4,11,3
4,8,2
4,14,1
4,19,1
4,38,2
4,45,1
4,37,1
4,7,1
5,37,4
5,39,1
5,25,6
5,42,2
5,2,4
5,9,6
5,22,7
5,3,4
5,18,2
5,44,3
5,11,6
5,14,3
5,38,2
5,5,3
5,26,2
5,20,3
5,15,3
5,36,5
5,16,4
5,4,2
5,6,1
5,1,6
5,21,1
5,40,1
5,24,1
5,41,2
5,43,2
5,12,2
5,13,1
5,27,1
5,29,1
5,48,1
5,17,1
5,19,2
5,47,1
5,7,1
5,45,1
5,23,2
6,9,3
6,23,5
6,17,2
6,19,2
6,21,1
6,40,2
6,41,3
6,10,1
6,3,6
6,13,4
6,16,6
6,2,4
6,26,1
6,25,3
6,29,4
6,4,4
6,37,5
6,15,5
6,5,1
6,43,1
6,12,3
6,14,2
6,47,1
6,1,2
6,38,3
6,24,2
6,7,2
6,6,3
6,22,4
6,46,1
6,45,2
6,39,2
6,20,3
6,8,2
6,36,1
6,18,1
6,28,2
6,11,1
7,22,3
7,45,1
7,23,4
7,25,4
7,43,5
7,2,7
7,15,5
7,42,3
7,10,2
7,14,3
7,4,5
7,16,8
7,13,2
7,3,3
7,40,1
7,26,3
7,21,3
7,1,2
7,30,4
7,5,5
7,48,2
7,20,4
7,29,1
7,8,3
7,24,2
7,37,1
7,38,1
7,27,3
7,7,2
7,39,1
7,46,1
7,41,2
