run,turn,card_id,choice,resources,security,moral,progress
0,0,22,1,50,55,40,50
0,1,5,0,45,55,45,50
0,2,26,1,55,55,40,50
0,3,46,1,60,55,40,45
0,4,7,0,45,60,40,45
0,5,5,0,40,60,45,45
0,6,5,1,45,60,35,45
0,7,4,1,55,60,35,40
0,8,37,1,65,60,35,40
0,9,14,0,65,60,35,45
0,10,25,1,65,65,25,45
0,11,3,0,80,65,20,45
0,12,48,1,80,70,20,35
0,13,22,1,80,75,10,35
0,14,5,0,75,75,15,35
0,15,4,0,60,80,15,35
0,16,37,0,48,90,15,35
0,17,20,1,48,95,0,35
0,18,20,1,48,100,-15,35
0,19,36,1,48,105,-15,30
0,20,26,1,58,105,-20,30
0,21,39,0,51,110,-20,30
0,22,7,0,36,115,-20,30
0,23,12,0,31,125,-20,30
0,24,38,0,26,130,-20,30
0,25,44,1,31,130,-20,30
0,26,1,0,41,130,-35,30
0,27,16,1,41,130,-45,30
0,28,15,0,61,125,-45,30
0,29,13,1,66,130,-45,30
0,30,3,0,81,130,-50,30
0,31,44,0,81,130,-40,35
0,32,29,0,71,130,-35,35
0,33,48,1,71,135,-35,25
0,34,42,1,71,140,-35,25
0,35,36,1,71,145,-35,20
0,36,22,0,66,145,-30,20
0,37,27,0,76,130,-30,20
0,38,40,1,76,120,-20,20
0,39,21,0,71,120,-5,20
0,40,1,1,63,120,0,20
0,41,10,1,83,120,-10,20
0,42,46,0,76,120,-10,25
0,43,40,1,76,110,0,25
0,44,17,1,61,110,10,25
0,45,39,1,66,110,10,20
0,46,4,0,51,115,10,20
0,47,22,1,51,120,0,20
0,48,3,0,66,120,-5,20
0,49,23,1,76,120,-10,20
0,50,26,1,86,120,-15,20
0,51,20,0,81,120,0,20
0,52,39,0,74,125,0,20
0,53,45,1,74,130,0,20
0,54,36,1,74,135,0,15
0,55,40,1,74,125,10,15
0,56,26,1,84,125,5,15
0,57,24,0,79,125,10,15
0,58,42,1,79,130,10,15
0,59,27,1,79,135,5,15
0,60,23,0,74,125,5,20
0,61,48,0,64,125,5,25
0,62,2,0,54,125,10,25
0,63,5,1,59,125,0,25
0,64,42,1,59,130,0,25
0,65,38,1,64,130,0,25
0,66,15,0,84,125,0,25
0,67,8,0,84,130,-10,25
0,68,11,1,89,130,-10,25
0,69,38,0,84,135,-10,25
0,70,7,0,69,140,-10,25
0,71,45,1,69,145,-10,25
0,72,41,1,74,135,-10,25
0,73,25,0,74,130,0,25
0,74,38,1,79,130,0,25
0,75,10,0,74,135,0,25
0,76,23,1,84,135,-5,25
0,77,23,1,94,135,-10,25
0,78,12,0,89,145,-10,25
0,79,1,0,99,145,-25,25
0,80,3,0,114,145,-30,25
0,81,2,0,104,145,-25,25
0,82,28,1,114,145,-25,25
0,83,23,1,124,145,-30,25
0,84,9,1,129,145,-30,25
0,85,12,0,124,155,-30,25
0,86,26,1,134,155,-35,25
0,87,13,1,139,160,-35,25
0,88,20,1,139,165,-50,25
0,89,16,0,129,170,-50,25
0,90,37,0,117,180,-50,25
0,91,26,1,127,180,-55,25
0,92,4,0,112,185,-55,25
0,93,23,0,107,175,-55,30
0,94,46,1,112,175,-55,25
0,95,13,0,112,175,-55,30
0,96,16,0,102,180,-55,30
0,97,14,1,102,185,-55,30
0,98,41,0,92,195,-55,30
0,99,4,1,102,195,-55,25
1,0,40,0,50,60,40,50
1,1,3,1,43,60,40,55
1,2,3,0,58,60,35,55
1,3,10,1,78,60,25,55
1,4,1,1,70,60,30,55
1,5,16,1,70,60,20,55
1,6,45,1,70,65,20,55
1,7,41,0,60,75,20,55
1,8,4,1,70,75,20,50
1,9,42,1,70,80,20,50
1,10,24,1,75,80,20,50
1,11,3,0,90,80,15,50
1,12,27,1,90,85,10,50
1,13,42,0,82,85,10,60
1,14,20,0,77,85,25,60
1,15,10,0,72,90,25,60
1,16,12,0,67,100,25,60
1,17,9,1,72,100,25,60
1,18,12,0,67,110,25,60
1,19,27,0,77,95,25,60
1,20,4,1,87,95,25,55
1,21,46,1,92,95,25,50
1,22,29,1,92,110,5,50
1,23,22,1,92,115,-5,50
1,24,10,0,87,120,-5,50
1,25,1,1,79,120,0,50
1,26,46,0,72,120,0,55
1,27,20,0,67,120,15,55
1,28,25,0,67,115,25,55
1,29,1,1,59,115,30,55
1,30,38,1,64,115,30,55
1,31,21,1,64,120,15,55
1,32,28,0,54,120,25,55
1,33,26,1,64,120,20,55
1,34,9,0,59,120,20,60
1,35,5,0,54,120,25,60
1,36,29,1,54,135,5,60
1,37,45,1,54,140,5,60
1,38,44,0,54,140,15,65
1,39,44,0,54,140,25,70
1,40,4,0,39,145,25,70
1,41,48,1,39,150,25,60
1,42,38,1,44,150,25,60
1,43,1,0,54,150,10,60
1,44,11,0,49,150,10,62
1,45,23,0,44,140,10,67
1,46,41,0,34,150,10,67
1,47,5,1,39,150,0,67
1,48,11,1,44,150,0,67
1,49,22,1,44,155,-10,67
1,50,37,0,32,165,-10,67
1,51,4,0,17,170,-10,67
1,52,3,1,10,170,-10,72
