run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,37,63,102,195,-55,25
1,36,64,45,240,-25,109
2,37,63,71,205,-35,146
3,36,64,129,145,-140,149
4,34,66,77,160,-115,97
5,38,62,7,165,25,77
6,38,62,-88,180,-45,142
7,35,65,73,90,-15,95
8,32,68,158,110,-85,107
9,37,63,-17,135,-30,138
10,38,62,194,140,-45,86
11,36,64,28,185,-35,122
12,37,63,-34,130,-40,162
13,41,59,-98,170,-70,157
14,40,60,42,130,-95,88
15,38,62,31,140,-20,66
16,36,64,-43,155,15,132
17,36,64,26,110,-15,143
18,41,59,89,165,-30,102
19,34,66,24,110,10,136
20,38,62,145,160,-120,79
21,31,69,138,110,-125,122
22,38,62,87,70,-20,151
23,37,63,116,125,-70,120
24,35,65,202,155,-85,127
25,37,63,149,145,-110,129
26,38,62,-51,145,20,127
27,38,62,-40,235,-55,143
28,41,59,41,155,-60,101
29,36,64,33,90,-100,178
30,36,64,166,135,-175,109
31,38,62,-39,230,-75,95
32,38,62,175,100,-60,106
33,39,61,34,200,-50,109
34,35,65,57,150,-65,62
35,34,66,35,160,-100,111
36,35,65,173,160,-55,104
37,36,64,113,115,-60,45
38,41,59,185,85,-75,127
39,36,64,-81,120,50,104
40,39,61,-43,140,-45,122
41,38,62,53,125,0,98
42,36,64,-45,205,-115,131
43,41,59,-10,180,-20,91
44,34,66,72,110,20,119
45,39,61,121,240,-75,110
46,36,64,134,105,-75,134
47,35,65,41,160,-110,79
48,34,66,186,130,-135,130
49,35,65,-19,185,-160,106
50,36,64,-9,115,5,178
51,37,63,127,135,-10,89
52,35,65,-142,200,-75,144
53,38,62,64,160,-50,126
54,34,66,75,160,-60,103
55,39,61,-13,175,-85,181
56,39,61,-21,120,25,79
57,38,62,-71,100,55,166
58,38,62,24,85,55,173
59,36,64,164,105,-110,107
60,36,64,3,160,-45,121
61,36,64,40,165,-65,100
62,39,61,119,205,-185,125
63,32,68,6,205,-20,53
64,36,64,130,195,-135,70
65,33,67,-36,145,-45,155
66,38,62,42,155,-25,137
67,36,64,-32,120,0,183
68,31,69,259,155,-50,113
69,36,64,241,40,-25,76
70,37,63,209,170,-140,182
71,37,63,215,170,-115,69
72,35,65,9,195,-45,101
73,41,59,27,165,-85,87
74,36,64,248,170,-180,84
75,37,63,173,125,-50,96
76,34,66,139,120,5,63
77,38,62,-1,205,-105,146
78,39,61,39,135,-20,100
79,34,66,44,200,-10,54
80,34,66,-2,155,5,102
81,37,63,-85,175,95,119
82,37,63,56,235,-210,105
83,32,68,45,120,130,67
84,39,61,183,185,-40,106
85,40,60,-60,250,-70,122
86,37,63,148,100,-25,69
87,36,64,70,100,-60,160
88,34,66,136,175,-95,91
89,39,61,58,200,-150,120
90,39,61,100,140,-75,97
91,35,65,-68,110,-5,92
92,35,65,217,145,-165,113
93,35,65,92,170,20,103
94,37,63,46,170,-55,120
95,38,62,-11,215,-85,124
96,38,62,222,95,-140,138
97,35,65,217,145,-100,99
98,39,61,150,125,-50,98
99,33,67,50,155,-105,78
