run,card_id,card_frequency
0,26,4
0,10,3
0,20,3
0,41,4
0,14,4
0,44,5
0,42,2
0,22,4
0,39,1
0,45,3
0,23,3
0,7,2
0,12,4
0,36,2
0,24,1
0,6,2
0,2,4
0,43,2
0,28,1
0,5,3
0,3,3
0,11,3
0,21,2
0,1,4
0,27,1
0,25,3
0,38,1
0,30,1
0,18,2
0,4,2
0,17,2
0,40,2
0,16,4
0,13,1
0,19,1
0,29,2
0,48,1
0,46,1
0,9,2
0,8,2
0,37,1
0,47,1
0,15,1
1,38,4
1,1,2
1,20,4
1,42,3
1,11,2
1,2,4
1,15,2
1,13,4
1,14,3
1,28,3
1,22,3
1,39,3
1,12,4
1,9,4
1,4,4
1,3,3
1,41,4
1,8,4
1,5,5
1,37,2
1,44,1
1,18,2
1,45,1
1,25,3
1,23,2
1,17,1
1,10,4
1,40,2
1,36,1
1,24,3
1,26,3
1,46,1
1,16,2
1,6,1
1,30,1
1,19,1
1,7,1
1,43,1
1,47,1
1,48,1
2,13,3
2,18,2
2,2,3
2,15,5
2,19,1
2,4,4
2,8,2
2,27,2
2,3,3
2,17,3
2,24,2
2,5,5
2,45,1
2,39,3
2,26,3
2,44,1
2,48,3
2,10,4
2,16,3
2,36,2
2,11,2
2,38,4
2,42,2
2,41,2
2,40,1
2,9,3
2,1,3
2,21,2
2,7,3
2,28,1
2,25,2
2,46,1
2,6,2
2,23,3
2,22,3
2,43,3
2,14,2
2,37,1
2,12,2
2,29,1
2,47,1
2,20,1
3,25,6
3,14,4
3,3,4
3,37,3
3,21,1
3,13,4
3,16,5
3,18,1
3,6,2
3,9,3
3,30,3
3,5,3
3,41,4
3,4,4
3,10,5
3,39,2
3,29,2
3,22,1
3,26,5
3,1,1
3,8,2
3,2,2
3,20,3
3,12,4
3,7,2
3,15,4
3,44,2
3,19,1
3,36,3
3,24,2
3,23,2
3,45,1
3,42,1
3,46,2
3,17,1
3,28,2
3,43,1
3,27,1
3,11,1
4,15,4
4,10,2
4,13,3
4,3,5
4,43,2
4,14,4
4,23,3
4,21,2
4,41,2
4,22,2
4,7,2
4,40,2
4,16,5
4,9,3
4,20,4
4,5,4
4,2,3
4,8,1
4,11,5
4,38,3
4,44,1
4,6,2
4,45,3
4,26,3
4,42,1
4,39,2
4,25,4
4,47,3
4,18,1
4,1,2
4,36,3
4,29,1
4,37,3
4,4,1
4,17,1
4,48,1
4,12,2
4,30,1
4,28,1
4,46,2
4,19,1
5,29,1
5,4,4
5,12,3
5,46,3
5,6,2
5,8,4
5,37,2
5,13,4
5,5,4
5,22,3
5,48,3
5,11,4
5,7,2
5,36,3
5,10,3
5,1,4
5,26,1
5,3,3
5,15,4
5,16,3
5,23,3
5,24,3
5,28,2
5,41,6
5,14,2
5,2,3
5,20,4
5,43,2
5,9,2
5,25,2
5,27,2
5,39,2
5,44,2
5,38,2
5,17,1
5,19,1
5,45,1
6,16,6
6,10,5
6,23,2
6,2,4
6,47,3
6,42,3
6,22,5
6,38,2
6,13,4
6,27,3
6,1,3
6,40,3
6,25,5
6,14,3
6,12,4
6,4,1
6,15,2
6,3,1
6,21,2
6,5,3
6,24,4
6,20,2
6,17,1
6,11,2
6,41,3
6,29,1
6,39,3
6,26,1
6,8,2
6,45,1
6,28,2
6,30,2
6,36,2
6,44,1
6,18,2
6,9,1
6,7,2
6,43,2
6,37,1
6,6,1
7,14,4
7,26,3
7,12,5
7,41,5
7,3,3
7,24,1
7,43,3
7,20,3
7,40,3
7,9,1
7,2,2
7,11,4
7,42,2
7,22,3
7,16,4
7,15,4
7,45,4
7,1,4
7,39,4
7,37,2
7,36,2
7,23,1
7,18,1
7,28,3
7,8,3
7,21,3
