run,turn,card_id,choice,resources,security,moral,progress
0,0,31,0,50,55,40,50
0,1,16,0,40,60,40,50
0,2,41,0,30,70,40,50
0,3,40,1,30,60,50,50
0,4,22,0,25,60,55,50
0,5,20,0,20,60,70,50
0,6,44,1,25,60,70,50
0,7,47,0,50,60,70,50
0,8,13,0,50,60,70,55
0,9,26,1,60,60,65,55
0,10,27,0,70,45,65,55
0,11,18,1,80,45,65,55
0,12,2,1,85,45,55,55
0,13,25,1,85,50,45,55
0,14,11,1,90,50,45,55
0,15,16,1,90,50,35,55
0,16,28,1,100,50,35,55
0,17,38,0,95,55,35,55
0,18,9,1,100,55,35,55
0,19,8,0,100,60,25,55
0,20,12,0,95,70,25,55
0,21,22,0,90,70,30,55
0,22,3,1,83,70,30,60
0,23,41,0,73,80,30,60
0,24,46,1,78,80,30,55
0,25,20,1,78,85,15,55
0,26,5,0,73,85,20,55
0,27,45,0,73,85,20,60
0,28,11,1,78,85,20,60
0,29,23,1,88,85,15,60
0,30,27,1,88,90,10,60
0,31,2,1,93,90,0,60
0,32,10,1,113,90,-10,60
0,33,6,0,123,90,-15,60
0,34,1,1,115,90,-10,60
0,35,28,1,125,90,-10,60
0,36,14,1,125,95,-10,60
0,37,47,1,125,95,-10,75
0,38,5,1,130,95,-20,75
0,39,8,1,120,95,-20,80
0,40,3,1,113,95,-20,85
0,41,15,0,133,90,-20,85
0,42,22,1,133,95,-30,85
0,43,11,0,128,95,-30,87
0,44,32,1,128,85,-15,87
0,45,20,1,128,90,-30,87
0,46,33,0,158,90,-30,87
0,47,16,1,158,90,-40,87
0,48,25,0,158,85,-30,87
0,49,19,0,138,85,-20,97
0,50,36,1,138,90,-20,92
0,51,14,1,138,95,-20,92
0,52,34,0,138,80,-5,92
0,53,45,1,138,85,-5,92
0,54,9,1,143,85,-5,92
0,55,3,1,136,85,-5,97
0,56,5,1,141,85,-15,97
0,57,16,1,141,85,-25,97
0,58,18,1,151,85,-25,97
0,59,29,1,151,100,-45,97
0,60,15,1,151,105,-45,97
0,61,41,1,156,95,-45,97
0,62,23,1,166,95,-50,97
0,63,6,1,158,95,-50,102
0,64,17,0,138,105,-50,102
0,65,28,0,128,105,-40,102
0,66,38,0,123,110,-40,102
0,67,22,0,118,110,-35,102
0,68,26,0,113,110,-35,107
0,69,14,0,113,110,-35,112
0,70,47,0,138,110,-35,112
0,71,16,0,128,115,-35,112
