run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,46,54,84,140,35,137
1,49,51,-116,223,30,109
2,45,55,15,190,-15,126
3,51,49,30,200,40,87
4,48,52,196,100,-130,143
5,44,56,80,215,-115,131
6,41,59,79,80,-150,147
7,54,46,36,200,-50,60
8,46,54,-64,180,-25,94
9,45,55,2,195,-80,145
10,45,55,14,150,-65,81
11,42,58,160,165,-40,99
12,54,46,44,180,-110,109
13,50,50,23,110,50,154
14,49,51,256,170,-190,136
15,51,49,-46,170,20,127
16,46,54,49,145,45,58
17,47,53,182,238,-185,107
18,50,50,72,140,-55,162
19,47,53,103,175,-45,90
20,52,48,104,110,5,96
21,46,54,80,138,-50,157
22,50,50,0,155,40,98
23,46,54,96,140,-25,134
24,51,49,27,135,30,135
25,48,52,154,163,-25,91
26,51,49,69,140,-30,174
27,47,53,211,205,-155,138
28,51,49,123,118,-20,141
29,46,54,23,170,-30,152
30,52,48,73,120,10,138
31,51,49,-16,185,70,126
32,46,54,130,168,-150,64
33,50,50,127,120,0,137
34,44,56,112,223,-130,99
35,47,53,154,105,5,126
36,42,58,77,195,-95,71
37,51,49,66,198,0,97
38,45,55,154,90,-60,118
39,48,52,-25,140,-20,132
40,52,48,132,255,-70,74
41,45,55,84,220,-40,144
42,49,51,157,155,-90,134
43,49,51,-34,230,35,81
44,48,52,-18,110,110,132
45,46,54,45,155,-60,168
46,47,53,38,128,50,94
47,42,58,5,155,80,88
48,46,54,266,105,-45,97
49,49,51,56,135,85,141
50,43,57,146,125,-20,62
51,50,50,94,85,0,134
52,48,52,54,130,5,56
53,44,56,122,145,-60,46
54,47,53,-9,240,-25,154
55,48,52,96,173,-145,115
56,50,50,136,168,-75,132
57,49,51,-4,185,-95,164
58,42,58,34,255,-120,102
59,50,50,80,145,20,141
60,45,55,123,155,-80,124
61,50,50,152,115,-15,93
62,45,55,82,130,-50,126
63,52,48,119,128,-90,85
64,45,55,22,200,-70,104
65,44,56,202,153,-145,97
66,50,50,90,220,-25,94
67,48,52,-55,165,-20,144
68,48,52,-73,155,60,133
69,49,51,1,155,-60,152
70,52,48,255,60,30,102
71,50,50,-10,210,-80,157
72,46,54,154,115,-50,147
73,47,53,19,98,90,134
74,51,49,63,120,-5,102
75,45,55,84,55,90,194
76,50,50,136,180,-125,89
77,46,54,64,160,-65,95
78,45,55,119,60,20,121
79,51,49,155,170,-70,92
80,44,56,106,175,-65,112
81,49,51,140,180,-30,72
82,47,53,36,120,5,124
83,44,56,-159,235,15,116
84,49,51,-21,223,-30,169
85,50,50,112,158,-75,134
86,43,57,129,165,-25,116
87,47,53,103,140,105,71
88,53,47,116,135,-50,87
89,47,53,66,178,-95,116
90,48,52,156,243,-225,129
91,46,54,112,140,-130,124
92,48,52,113,135,-30,132
93,46,54,-45,145,40,161
94,47,53,240,115,15,116
95,47,53,148,145,-130,115
96,48,52,-21,163,-90,124
97,50,50,107,200,-75,85
98,45,55,139,125,-105,146
99,47,53,49,110,100,91
