run,card_id,card_frequency
0,26,7
0,15,4
0,2,5
0,39,3
0,48,2
0,12,7
0,11,3
0,40,2
0,10,7
0,21,3
0,16,2
0,41,4
0,28,2
0,1,1
0,5,3
0,9,3
0,29,1
0,19,1
0,4,2
0,20,4
0,14,2
0,3,3
0,24,3
0,42,1
0,37,1
0,38,5
0,23,2
0,8,2
0,36,2
0,13,3
0,6,1
0,25,2
0,45,1
0,46,1
0,43,1
0,27,3
0,22,1
1,16,5
1,15,5
1,13,4
1,10,4
1,2,4
1,41,1
1,14,1
1,48,3
1,9,4
1,37,3
1,44,3
1,45,3
1,29,2
1,4,2
1,1,5
1,11,5
1,25,5
1,3,3
1,7,3
1,43,3
1,46,2
1,42,1
1,38,3
1,26,2
1,18,1
1,12,4
1,20,2
1,5,3
1,17,3
1,36,2
1,28,1
1,30,1
1,40,2
1,6,2
1,21,1
1,23,1
1,47,1
2,30,1
2,3,6
2,45,5
2,1,6
2,24,6
2,13,8
2,27,3
2,23,5
2,9,4
2,5,4
2,10,4
2,11,3
2,12,4
2,16,5
2,8,5
2,25,1
2,36,1
2,39,2
2,26,1
2,17,2
2,22,2
2,46,2
2,4,1
2,7,1
2,19,1
2,37,2
2,2,3
2,15,3
2,18,1
2,44,1
2,6,1
2,14,2
2,21,1
2,42,1
2,43,1
2,41,1
3,46,2
3,48,3
3,14,2
3,43,1
3,19,2
3,1,4
3,40,3
3,38,1
3,21,3
3,4,3
3,15,3
3,7,3
3,3,2
3,36,2
3,11,5
3,18,1
3,26,6
3,10,3
3,13,5
3,2,2
3,16,4
3,20,4
3,24,2
3,12,3
3,27,2
3,9,1
3,39,2
3,37,1
3,47,3
3,41,4
3,25,5
3,6,3
3,5,3
3,23,2
3,22,2
3,42,1
3,17,1
3,29,1
4,26,3
4,16,4
4,4,3
4,47,5
4,36,4
4,27,2
4,39,4
4,6,4
4,48,1
4,20,4
4,44,4
4,22,5
4,42,4
4,18,2
4,5,5
4,12,4
4,9,6
4,7,3
4,30,1
4,40,3
4,11,2
4,15,2
4,3,3
4,41,1
4,23,3
4,10,3
4,17,2
4,14,2
4,8,1
4,29,1
4,2,1
4,45,1
4,1,3
4,46,1
4,37,2
4,43,1
5,24,2
5,46,3
5,20,2
5,8,2
5,22,4
5,40,2
5,16,4
5,5,4
5,9,1
5,39,3
5,23,5
5,26,3
5,48,3
5,4,2
5,41,8
5,28,1
5,13,4
5,10,4
5,25,4
5,44,1
5,3,1
5,15,3
5,37,1
5,11,4
5,19,1
5,43,2
5,21,3
5,12,3
5,14,3
5,47,2
5,6,1
5,36,1
5,1,2
5,18,1
5,30,2
5,38,1
5,45,1
5,29,1
5,2,4
5,42,1
6,42,3
6,4,3
6,8,4
6,44,6
6,41,5
6,24,4
6,38,2
6,26,4
6,39,2
6,25,4
6,40,3
6,5,4
6,27,3
6,11,3
6,1,3
6,17,2
6,20,3
6,23,5
6,7,2
6,15,4
6,16,1
6,3,1
6,14,3
6,21,2
6,9,4
6,46,2
6,36,2
6,43,1
6,22,4
6,18,1
6,29,2
6,13,4
6,2,1
6,10,2
6,12,1
7,5,3
7,4,3
7,36,3
7,3,3
7,16,4
7,9,5
7,13,4
7,12,3
7,20,2
7,21,4
7,46,2
7,47,2
7,41,5
7,6,2
7,10,6
7,15,4
7,1,4
7,23,5
7,24,3
7,28,1
7,37,1
7,22,3
7,26,4
7,42,2
7,39,1
7,14,4
7,40,2
7,7,2
7,11,3
7,2,1
7,27,2
7,38,3
7,30,1
7,44,1
7,17,1
7,25,1
8,5,6
8,9,5
8,28,2
8,38,1
8,14,3
8,16,5
8,21,3
8,3,8
8,25,4
8,12,3
8,18,2
8,23,3
8,30,3
8,26,3
8,13,5
8,15,2
8,20,5
8,24,3
8,8,1
8,11,4
8,6,2
8,4,3
8,46,1
8,40,1
8,10,3
8,22,3
8,42,1
8,37,1
8,39,2
8,43,2
8,44,1
8,1,1
8,17,1
8,7,1
8,45,1
8,2,1
8,41,1
8,27,1
8,48,2
9,25,4
9,41,3
9,7,1
9,48,3
9,17,2
9,14,4
9,3,4
9,5,6
9,4,6
9,2,3
9,46,2
9,22,6
9,15,4
9,36,1
9,1,2
9,28,3
9,37,5
9,27,3
9,26,5
9,8,3
9,23,3
9,24,3
9,12,4
9,43,2
9,30,1
9,10,3
9,21,1
9,16,5
9,40,1
9,45,2
9,11,2
9,20,1
9,13,1
9,44,1
10,3,7
10,11,6
10,40,1
10,2,5
10,4,4
10,9,3
10,16,6
10,26,3
10,5,3
10,25,3
10,27,1
10,28,1
10,48,1
10,29,1
10,21,1
10,41,4
10,6,2
10,13,6
10,23,4
10,30,2
10,7,4
10,14,3
10,12,3
10,22,1
10,38,3
10,39,4
10,1,4
10,24,2
10,20,1
10,8,2
10,10,2
10,42,2
10,43,1
10,36,1
10,46,1
10,15,2
11,12,5
11,41,3
11,23,5
11,26,5
11,15,10
11,4,2
11,24,3
11,5,4
11,48,2
11,38,4
11,1,3
11,10,6
11,19,2
11,22,3
11,7,3
11,46,2
11,17,2
11,9,2
11,2,3
11,11,1
11,14,1
11,21,3
11,8,3
11,3,4
11,20,3
11,25,4
11,45,1
11,42,1
11,16,1
11,6,1
11,13,2
11,39,3
