run,turn,card_id,choice,resources,security,moral,progress
0,0,26,0,45,50,50,55
0,1,15,1,45,55,50,55
0,2,2,0,35,55,55,55
0,3,39,0,28,60,55,55
0,4,48,0,18,60,55,60
0,5,12,1,23,60,55,60
0,6,11,1,28,60,55,60
0,7,40,0,28,70,45,60
0,8,12,0,23,80,45,60
0,9,11,1,28,80,45,60
0,10,26,1,38,80,40,60
0,11,10,1,58,80,30,60
0,12,21,0,53,80,45,60
0,13,16,1,53,80,35,60
0,14,41,0,43,90,35,60
0,15,10,1,63,90,25,60
0,16,28,1,73,90,25,60
0,17,39,0,66,95,25,60
0,18,1,1,58,95,30,60
0,19,5,0,53,95,35,60
0,20,9,0,48,95,35,65
0,21,29,0,38,95,40,65
0,22,19,0,18,95,50,75
0,23,4,0,3,100,50,75
0,24,20,1,3,105,35,75
0,25,16,1,3,105,25,75
0,26,14,1,3,110,25,75
0,27,21,0,-2,110,40,75
0,28,12,0,-7,120,40,75
0,29,3,1,-14,120,40,80
0,30,24,1,-9,120,40,80
0,31,42,1,-9,125,40,80
0,32,10,0,-14,130,40,80
0,33,4,0,-29,135,40,80
0,34,37,0,-41,145,40,80
0,35,26,0,-46,145,40,85
0,36,2,1,-41,145,30,85
0,37,38,1,-36,145,30,85
0,38,41,0,-46,155,30,85
0,39,12,1,-41,155,30,85
0,40,38,0,-46,160,30,85
0,41,38,1,-41,160,30,85
0,42,24,0,-46,160,35,85
0,43,23,0,-51,150,35,90
0,44,12,1,-46,150,35,90
0,45,8,0,-46,155,25,90
0,46,36,0,-46,150,25,92
0,47,2,1,-41,150,15,92
0,48,28,1,-31,150,15,92
0,49,8,1,-41,150,15,97
0,50,21,1,-41,155,0,97
0,51,13,1,-36,160,0,97
0,52,6,1,-44,160,0,102
0,53,10,0,-49,165,0,102
0,54,15,1,-49,170,0,102
0,55,5,0,-54,170,5,102
0,56,25,0,-54,165,15,102
0,57,38,0,-59,170,15,102
0,58,13,0,-59,170,15,107
0,59,41,1,-54,160,15,107
0,60,24,1,-49,160,15,107
0,61,10,0,-54,165,15,107
0,62,38,0,-59,170,15,107
0,63,45,1,-59,175,15,107
0,64,23,1,-49,175,10,107
0,65,13,1,-44,180,10,107
0,66,36,1,-44,185,10,102
0,67,46,1,-39,185,10,97
0,68,26,0,-44,185,10,102
0,69,43,0,-24,185,0,102
0,70,26,0,-29,185,0,107
0,71,27,0,-19,170,0,107
0,72,3,1,-26,170,0,112
0,73,26,1,-16,170,-5,112
0,74,12,0,-21,180,-5,112
0,75,12,1,-16,180,-5,112
0,76,14,1,-16,185,-5,112
0,77,2,1,-11,185,-15,112
0,78,20,1,-11,190,-30,112
0,79,3,0,4,190,-35,112
0,80,9,0,-1,190,-35,117
0,81,20,1,-1,195,-50,117
0,82,39,0,-8,200,-50,117
0,83,27,0,2,185,-50,117
0,84,2,1,7,185,-60,117
0,85,5,0,2,185,-55,117
0,86,22,1,2,190,-65,117
0,87,41,0,-8,200,-65,117
0,88,26,1,2,200,-70,117
0,89,15,0,22,195,-70,117
0,90,48,1,22,200,-70,107
0,91,27,0,32,185,-70,107
0,92,15,1,32,190,-70,107
0,93,40,1,32,180,-60,107
0,94,10,0,27,185,-60,107
0,95,20,0,22,185,-45,107
0,96,25,1,22,190,-55,107
0,97,11,1,27,190,-55,107
0,98,10,1,47,190,-65,107
0,99,9,1,52,190,-65,107
1,0,16,1,50,50,40,50
1,1,15,0,70,45,40,50
1,2,13,1,75,50,40,50
1,3,10,1,95,50,30,50
1,4,2,1,100,50,20,50
1,5,41,1,105,40,20,50
1,6,14,0,105,40,20,55
1,7,48,1,105,45,20,45
1,8,9,0,100,45,20,50
1,9,37,0,88,55,20,50
1,10,44,1,93,55,20,50
1,11,45,1,93,60,20,50
1,12,29,1,93,75,0,50
1,13,15,1,93,80,0,50
1,14,4,1,103,80,0,45
1,15,2,0,93,80,5,45
