run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,37,63,52,190,-65,107
1,37,63,115,160,-40,116
2,36,64,-91,210,-50,161
3,38,62,-25,85,20,160
4,36,64,-36,195,-55,169
5,40,60,81,110,-40,114
6,35,65,17,110,-5,89
7,36,64,208,150,-95,93
8,39,61,99,175,10,81
9,34,66,121,190,-45,59
10,36,64,-30,150,5,116
11,35,65,95,130,-70,147
12,37,63,9,185,0,138
13,39,61,24,125,-60,76
14,39,61,133,170,-160,169
15,35,65,26,175,40,61
16,36,64,166,55,30,128
17,38,62,36,175,-95,105
18,31,69,100,150,-145,124
19,38,62,-36,150,-55,101
20,38,62,115,110,-80,135
21,35,65,0,155,-80,102
22,35,65,-57,185,-65,113
23,40,60,-58,205,-120,166
24,36,64,-20,185,-60,104
25,39,61,16,150,-45,116
26,37,63,324,150,-60,71
27,36,64,161,165,-90,70
28,37,63,139,110,-70,141
29,41,59,133,155,-150,66
30,37,63,12,95,50,152
31,37,63,226,110,-110,136
32,37,63,119,175,-110,152
33,34,66,19,185,-95,86
34,38,62,117,135,-10,134
35,39,61,13,170,-60,97
36,35,65,-36,165,-80,137
37,34,66,-52,150,25,71
38,38,62,108,170,-125,74
39,34,66,55,180,-55,142
40,34,66,19,200,-80,177
41,36,64,16,135,-55,146
42,37,63,149,130,-110,98
43,41,59,-9,215,-80,203
44,39,61,128,175,-120,114
45,37,63,113,160,-50,118
46,34,66,119,160,-55,77
47,37,63,-82,160,35,154
48,39,61,253,125,30,104
49,37,63,22,170,-115,116
50,32,68,28,140,-35,108
51,37,63,44,170,-50,124
52,38,62,221,135,-165,89
53,37,63,105,145,-145,144
54,33,67,107,135,-80,127
55,37,63,79,165,-105,74
56,38,62,99,190,-60,141
57,38,62,78,180,-110,127
58,37,63,4,130,-35,134
59,38,62,-61,185,0,69
60,33,67,6,110,5,149
61,38,62,43,150,35,117
62,40,60,9,170,-70,155
63,35,65,152,100,-35,95
64,37,63,131,175,-80,116
65,39,61,98,185,-65,111
66,38,62,225,165,-135,80
67,36,64,26,130,-15,169
68,37,63,49,135,-35,138
69,37,63,155,155,-35,136
70,36,64,190,140,-155,92
71,36,64,108,145,-75,165
72,37,63,139,180,-10,89
73,36,64,58,165,-65,78
74,36,64,52,195,-25,83
75,36,64,48,165,-20,124
76,33,67,7,170,65,105
77,37,63,16,145,-140,124
78,38,62,81,130,-40,85
79,33,67,19,160,-125,114
80,39,61,124,100,5,44
81,37,63,-70,205,-55,168
82,38,62,-31,155,-140,127
83,33,67,4,145,-5,93
84,34,66,96,115,-35,81
85,37,63,113,165,-45,136
86,38,62,-10,160,40,63
87,39,61,-85,185,-55,111
88,35,65,182,135,-60,101
89,39,61,91,150,-100,144
90,35,65,176,90,-65,122
91,38,62,-32,175,-25,83
92,37,63,-61,240,-120,79
93,39,61,79,195,-55,74
94,36,64,101,140,-60,160
95,37,63,39,135,-50,94
96,34,66,144,115,-100,112
97,41,59,-76,195,-70,162
98,37,63,-20,175,5,179
99,37,63,242,130,-120,84
