run,card_id,card_frequency
0,5,6
0,39,2
0,36,3
0,6,2
0,37,2
0,42,3
0,24,4
0,4,1
0,46,2
0,28,3
0,7,2
0,29,4
0,27,5
0,43,2
0,44,5
0,12,5
0,8,1
0,48,2
0,23,4
0,26,3
0,41,2
0,25,2
0,18,3
0,16,2
0,17,2
0,1,1
0,22,1
0,47,1
0,21,2
0,45,1
0,13,4
0,11,2
0,30,4
0,15,2
0,19,2
0,3,2
0,20,1
0,10,2
0,40,1
0,14,1
0,2,1
1,36,4
1,8,3
1,22,4
1,39,2
1,1,2
1,42,5
1,29,4
1,6,4
1,23,4
1,38,2
1,28,4
1,26,2
1,14,3
1,46,2
1,20,5
1,4,3
1,9,2
1,17,2
1,43,6
1,2,1
1,25,1
1,21,4
1,30,3
1,44,4
1,12,1
1,13,1
1,41,3
1,37,3
1,48,1
1,19,4
1,40,2
1,3,1
1,5,2
1,27,1
1,7,3
1,18,1
1,10,1
2,38,2
2,9,4
2,46,2
2,47,3
2,27,2
2,23,2
2,3,4
2,15,3
2,26,3
2,29,5
2,41,2
2,10,5
2,18,3
2,24,3
2,17,2
2,37,3
2,11,2
2,13,2
2,20,1
2,48,3
2,25,2
2,16,4
2,44,4
2,1,3
2,6,2
2,36,1
2,39,2
2,40,2
2,30,2
2,7,3
2,2,1
2,43,4
2,19,2
2,4,4
2,5,1
2,14,2
2,42,3
2,21,1
2,45,1
3,6,3
3,4,7
3,25,3
3,21,4
3,7,5
3,5,2
3,9,2
3,38,8
3,18,3
3,14,2
3,36,2
3,15,2
3,26,3
3,24,1
3,20,3
3,29,3
3,45,3
3,23,1
3,42,2
3,28,2
3,13,1
3,16,3
3,1,3
3,22,1
3,2,3
3,27,1
3,39,2
3,8,1
3,40,1
3,17,5
3,10,1
3,37,2
3,46,1
3,3,2
3,19,1
3,43,3
3,41,5
3,47,1
3,48,1
3,11,1
4,37,2
4,24,2
4,18,4
4,43,2
4,42,4
4,8,5
4,29,1
4,11,3
4,15,3
4,5,2
4,46,3
4,21,2
4,12,4
4,1,4
4,14,4
4,28,2
4,22,3
4,16,4
4,41,2
4,23,1
4,27,2
4,4,4
4,39,2
4,2,3
4,26,2
4,7,4
4,44,1
4,20,4
4,19,1
4,30,2
4,10,3
4,25,1
4,6,1
4,45,2
4,17,2
4,13,4
4,9,1
4,48,1
4,38,1
4,40,1
4,36,1
5,25,5
5,18,1
5,43,1
5,17,4
5,9,6
5,13,1
5,39,1
5,7,3
5,48,2
5,24,2
5,36,4
5,26,4
5,4,3
5,15,5
5,44,2
5,11,5
5,2,5
5,45,3
5,40,3
5,20,3
5,3,5
5,29,2
5,19,2
5,12,2
5,46,2
5,1,1
5,37,1
5,22,2
5,8,3
5,10,3
5,47,3
5,5,2
5,27,2
5,21,2
5,42,1
5,38,2
5,14,1
5,30,1
6,7,3
6,3,8
6,22,2
6,26,2
6,44,4
6,46,6
6,36,2
6,13,4
6,18,2
6,10,4
6,15,1
6,17,2
6,2,3
6,12,1
6,41,2
6,23,2
6,30,4
6,37,5
6,21,3
6,24,4
6,29,5
6,28,6
6,40,1
6,27,2
6,45,2
6,19,1
6,47,1
6,16,1
6,5,3
6,8,1
6,25,1
6,6,4
6,39,3
6,9,1
6,4,2
6,48,1
6,1,1
7,4,4
7,39,3
7,2,2
7,41,3
7,9,4
7,22,3
7,24,1
7,20,3
7,5,3
7,28,4
7,40,7
7,13,3
7,11,1
7,7,3
7,14,2
7,12,3
7,15,2
7,47,3
7,16,3
7,8,5
7,43,1
7,19,4
7,23,3
7,25,5
7,44,1
7,1,1
7,18,3
7,46,1
7,30,1
7,48,2
7,45,1
7,21,1
7,37,1
7,10,1
