run,turn,card_id,choice,resources,moral,stability,progress
0,0,5,0,40,50,55,50
0,1,39,0,30,65,55,50
0,2,36,0,30,60,55,65
0,3,6,1,20,60,55,75
0,4,37,1,30,60,55,75
0,5,36,0,30,55,55,90
0,6,42,1,30,60,55,90
0,7,24,0,25,60,55,90
0,8,4,0,10,75,55,90
0,9,46,0,0,75,55,105
0,10,28,0,-20,75,55,120
0,11,28,1,-10,75,55,120
0,12,5,1,-5,75,45,120
0,13,7,0,-20,85,45,120
0,14,24,1,-15,85,45,120
0,15,29,1,-15,105,25,120
0,16,27,1,-15,120,20,120
0,17,5,1,-10,120,10,120
0,18,37,0,-25,140,10,120
0,19,43,1,-25,140,15,115
0,20,44,0,-25,140,25,125
0,21,12,1,-20,140,25,125
0,22,39,1,-15,140,25,125
0,23,8,1,-30,140,25,135
0,24,48,0,-30,140,25,165
0,25,44,1,-25,140,25,165
0,26,44,1,-20,140,25,165
0,27,12,1,-15,140,25,165
0,28,42,1,-15,145,25,165
0,29,23,0,-25,145,25,175
0,30,26,0,-35,145,25,185
0,31,41,1,-30,135,25,185
0,32,6,1,-40,135,25,195
0,33,25,0,-40,130,25,195
0,34,12,0,-45,140,25,195
0,35,48,0,-45,140,25,225
0,36,43,0,-25,140,15,225
0,37,18,1,-15,140,15,225
0,38,44,1,-10,140,15,225
0,39,16,0,-25,150,15,225
0,40,17,1,-55,150,30,225
0,41,1,1,-65,150,30,230
0,42,28,1,-55,150,30,230
0,43,22,1,-55,155,20,230
0,44,12,1,-50,155,20,230
0,45,47,1,-50,155,20,230
0,46,21,1,-45,155,10,230
0,47,26,0,-55,155,10,240
0,48,45,1,-55,165,10,240
0,49,13,0,-55,165,10,260
0,50,11,1,-50,165,10,260
0,51,30,1,-50,165,20,260
0,52,15,1,-50,170,20,260
0,53,21,1,-45,170,10,260
0,54,42,0,-60,170,10,275
0,55,17,1,-90,170,25,275
0,56,19,0,-90,170,25,275
0,57,18,1,-80,170,25,275
