run,unique_cards,repetitions,final_wealth,final_morale,final_stability,final_progress
0,41,59,-205,250,10,465
1,37,63,-235,300,135,315
2,39,61,-185,400,-60,380
3,40,60,-360,375,-30,335
4,41,59,-150,280,20,385
5,38,62,-180,350,15,365
6,37,63,-155,405,-70,405
7,42,58,-125,180,-30,355
8,39,61,-55,255,-75,410
9,41,59,-45,260,-55,435
10,42,58,-140,400,-60,275
11,41,59,-240,325,60,420
12,41,59,-225,275,40,425
13,37,63,-165,305,-55,260
14,37,63,-195,280,-10,380
15,41,59,-160,355,-60,365
16,41,59,-95,280,-35,380
17,40,60,-245,305,120,390
18,41,59,-150,290,-20,430
19,38,62,-220,365,-70,380
20,41,59,-105,260,-35,310
21,41,59,-150,335,-25,360
22,40,60,-245,435,-125,380
23,39,61,-140,280,65,430
24,39,61,-100,210,15,390
25,40,60,-145,215,110,325
26,38,62,-335,315,145,320
27,39,61,-85,270,-45,350
28,39,61,-270,215,115,325
29,39,61,-150,275,55,380
30,38,62,-140,355,-90,425
31,41,59,-280,325,55,465
32,38,62,-95,385,-80,290
33,41,59,-50,225,-95,390
34,39,61,-60,260,40,290
35,40,60,-55,225,30,370
36,41,59,-110,310,75,315
37,38,62,40,395,-90,265
38,37,63,-85,255,-35,405
39,40,60,-230,280,-70,415
40,39,61,-115,360,-50,325
41,38,62,-130,245,20,410
42,39,61,-200,295,-75,465
43,39,61,-35,265,-60,310
44,39,61,-400,365,20,425
45,36,64,-35,300,-145,320
46,39,61,-140,230,-100,395
47,37,63,-110,330,-80,365
48,38,62,-90,295,0,360
49,39,61,-360,310,70,395
50,41,59,-95,250,-65,425
51,40,60,-145,290,20,375
52,38,62,-165,410,-85,250
53,40,60,-95,360,-115,305
54,39,61,-230,345,140,295
55,41,59,-275,310,25,510
56,41,59,-145,260,-25,385
57,39,61,-55,195,10,385
58,41,59,-90,335,-55,290
59,39,61,-90,240,-55,390
60,36,64,-335,350,140,375
61,38,62,-110,270,30,365
62,42,58,-175,305,-105,420
63,41,59,-250,290,40,420
64,39,61,-95,270,0,350
65,39,61,-335,375,30,400
66,35,65,-160,310,-45,430
67,39,61,-40,320,-70,285
68,41,59,0,355,-110,375
69,38,62,-285,350,20,305
70,39,61,-170,280,50,420
71,38,62,45,275,-75,275
72,39,61,-230,350,-20,410
73,38,62,-50,350,-15,345
74,42,58,-85,260,-65,330
75,37,63,-125,245,-5,450
76,39,61,-180,250,50,345
77,39,61,-100,320,-30,275
78,39,61,-10,225,15,320
79,39,61,-265,310,-25,505
80,41,59,-205,335,-50,465
81,40,60,-90,240,0,340
82,38,62,-165,330,-25,280
83,38,62,-280,420,60,280
84,38,62,-230,270,10,385
85,40,60,-155,360,-85,430
86,39,61,-135,275,-40,310
87,41,59,-265,420,-35,465
88,37,63,-170,220,15,565
89,41,59,-360,475,110,235
90,38,62,-140,355,-30,370
91,41,59,-95,305,40,400
92,40,60,-140,310,-50,295
93,40,60,-140,230,30,365
94,40,60,-115,290,-40,470
95,39,61,-110,250,15,290
96,39,61,-140,285,20,375
97,39,61,-225,230,65,410
98,42,58,-45,225,0,385
99,36,64,-60,325,-10,320
