run,card_id,card_frequency
0,4,6
0,48,4
0,3,2
0,41,5
0,43,1
0,28,7
0,29,3
0,39,2
0,37,2
0,6,2
0,45,3
0,5,2
0,13,3
0,1,3
0,14,1
0,8,3
0,46,2
0,36,3
0,9,2
0,16,1
0,15,1
0,18,2
0,42,2
0,44,2
0,22,4
0,25,4
0,40,2
0,38,1
0,24,3
0,30,3
0,27,4
0,26,1
0,31,1
0,23,3
0,20,1
0,11,2
0,32,1
0,47,1
0,21,1
0,2,1
0,57,1
0,17,1
0,7,1
1,29,2
1,18,4
1,41,3
1,22,1
1,36,4
1,25,5
1,16,3
1,3,4
1,43,4
1,10,3
1,4,4
1,7,4
1,44,1
1,14,3
1,26,4
1,39,3
1,9,2
1,1,1
1,31,1
1,45,4
1,11,2
1,28,2
1,38,2
1,57,1
1,19,1
1,24,4
1,47,2
1,2,2
1,46,1
1,42,1
1,48,1
1,15,2
1,17,1
1,58,1
1,21,2
1,32,1
1,13,1
1,27,2
1,8,2
1,20,2
1,37,1
1,23,2
1,33,1
1,6,1
1,5,1
1,40,1
2,48,5
2,16,2
2,46,2
2,13,5
2,38,1
2,30,2
2,29,2
2,36,1
2,18,3
2,41,2
2,40,3
2,25,2
2,15,3
2,44,3
2,31,1
2,45,3
2,39,3
2,20,3
2,27,1
2,24,2
2,8,4
2,17,2
2,37,3
2,28,1
2,19,4
2,11,1
2,1,3
2,49,1
2,6,3
2,32,1
2,3,1
2,42,3
2,33,1
2,9,2
2,10,2
2,2,3
2,4,2
2,14,1
2,50,1
2,22,2
2,5,1
2,12,2
2,47,3
2,23,1
2,51,1
2,34,1
2,26,1
3,21,3
3,28,3
3,7,4
3,24,4
3,5,1
3,43,6
3,49,1
3,9,2
3,57,1
3,46,6
3,10,2
3,38,2
3,4,3
3,20,2
3,3,1
3,25,3
3,13,1
3,14,3
3,50,1
3,40,4
3,36,3
3,8,1
3,29,3
3,42,3
3,47,3
3,11,2
3,17,2
3,51,1
3,41,2
3,58,1
3,59,1
3,26,2
3,6,2
3,19,2
3,2,2
3,15,3
3,27,2
3,18,2
3,1,1
3,44,2
3,16,1
3,37,2
3,52,1
3,60,1
3,45,1
3,12,1
4,19,5
4,5,3
4,11,3
4,15,2
4,28,3
4,48,3
4,22,3
4,8,1
4,9,3
4,7,3
4,57,1
4,47,2
4,46,5
4,21,4
4,13,4
4,3,1
4,38,4
4,1,3
4,43,2
4,58,1
4,20,4
4,59,1
4,26,4
4,36,1
4,45,3
4,40,2
4,23,2
4,27,3
4,31,1
4,4,1
4,39,2
4,29,1
4,14,3
4,60,1
4,42,3
4,24,1
4,16,2
4,41,1
4,17,1
4,37,1
4,12,1
4,30,2
4,18,1
4,10,1
4,61,1
5,36,2
5,19,3
5,5,3
5,10,2
5,17,2
5,30,4
5,39,3
5,26,2
5,1,3
5,42,1
5,4,3
5,43,2
5,31,1
5,24,3
5,23,4
5,29,2
5,38,4
5,25,5
5,12,3
5,41,4
5,44,3
5,3,3
5,6,2
5,11,3
5,14,1
5,9,2
5,2,1
5,32,1
5,33,1
5,27,3
5,20,3
5,22,3
5,46,1
5,37,2
5,8,1
5,7,1
5,48,2
5,21,1
5,47,1
5,49,1
5,18,1
5,50,1
5,34,1
5,35,1
5,28,1
5,40,1
5,57,1
5,13,1
6,21,2
6,31,1
6,15,3
6,24,3
6,29,4
6,36,5
6,4,4
6,8,2
6,19,1
6,47,2
6,5,5
6,18,2
6,27,3
6,39,5
6,46,4
6,48,1
6,38,3
6,41,3
6,3,2
6,6,3
6,13,1
6,40,4
6,10,2
6,37,3
6,45,2
6,32,1
6,11,3
6,20,2
6,7,2
6,12,1
6,28,1
6,17,1
6,22,2
6,57,1
6,2,3
6,9,2
6,33,1
6,44,1
6,1,1
6,30,2
6,43,2
6,25,1
6,23,1
6,42,1
6,26,1
7,4,2
7,3,4
7,13,2
7,27,6
7,14,1
7,10,4
7,46,4
7,38,4
7,21,2
7,31,1
7,19,4
7,2,2
7,29,3
7,25,2
7,24,3
7,20,2
7,16,3
7,26,2
7,7,4
7,18,3
7,28,2
7,12,3
7,47,2
