run,turn,card_id,choice,wealth,morale,stability,progress
0,0,4,0,35,65,50,50
0,1,48,1,35,65,50,50
0,2,3,0,50,65,45,50
0,3,41,0,40,80,45,50
0,4,43,0,60,80,35,50
0,5,28,1,70,80,35,50
0,6,29,1,70,100,15,50
0,7,39,0,60,115,15,50
0,8,37,1,70,115,15,50
0,9,6,0,80,115,10,50
0,10,28,0,60,115,10,65
0,11,45,1,60,125,10,65
0,12,4,1,70,125,10,65
0,13,5,1,75,125,0,65
0,14,13,1,80,130,0,65
0,15,1,1,70,130,0,70
0,16,14,0,70,130,0,80
0,17,8,1,55,130,0,90
0,18,28,0,35,130,0,105
0,19,46,0,25,130,0,120
0,20,36,1,25,140,0,120
0,21,45,0,25,140,0,135
0,22,41,1,30,130,0,135
0,23,1,0,40,130,-10,135
0,24,9,1,45,130,-10,135
0,25,16,1,45,130,-20,135
0,26,15,1,45,135,-20,135
0,27,18,0,15,135,-20,165
0,28,4,0,0,150,-20,165
0,29,42,0,-15,150,-20,180
0,30,36,0,-15,145,-20,195
0,31,44,0,-15,145,-10,205
0,32,48,0,-15,145,-10,235
0,33,45,0,-15,145,-10,250
0,34,22,0,-25,145,0,250
0,35,25,0,-25,140,0,250
0,36,40,0,-25,150,-10,250
0,37,44,0,-25,150,0,260
0,38,28,1,-15,150,0,260
0,39,29,0,-35,150,5,260
0,40,41,0,-45,165,5,260
0,41,38,1,-40,165,5,260
0,42,5,0,-50,165,10,260
0,43,24,1,-45,165,10,260
0,44,30,1,-45,165,20,260
0,45,27,0,-35,155,20,260
0,46,46,0,-45,155,20,275
0,47,8,1,-60,155,20,285
0,48,13,1,-55,160,20,285
0,49,42,1,-55,165,20,285
0,50,4,0,-70,180,20,285
0,51,26,0,-80,180,20,295
0,52,27,1,-80,195,15,295
0,53,28,1,-70,195,15,295
0,54,3,0,-55,195,10,295
0,55,41,0,-65,210,10,295
0,56,22,0,-75,210,20,295
0,57,39,1,-70,210,20,295
0,58,37,0,-85,230,20,295
0,59,24,0,-90,230,20,295
0,60,28,0,-110,230,20,310
0,61,31,0,-110,240,10,310
0,62,48,0,-110,240,10,340
0,63,6,1,-120,240,10,350
0,64,41,1,-115,230,10,350
0,65,4,0,-130,245,10,350
0,66,40,1,-130,235,20,350
0,67,23,1,-130,240,15,350
0,68,9,0,-140,240,15,355
0,69,25,0,-140,235,15,355
0,70,48,0,-140,235,15,385
0,71,20,0,-150,235,30,385
0,72,23,1,-150,240,25,385
0,73,1,1,-160,240,25,390
0,74,30,0,-160,240,15,415
0,75,11,1,-155,240,15,415
0,76,32,1,-155,230,30,415
0,77,47,1,-155,230,30,415
0,78,25,1,-155,240,30,415
0,79,22,0,-165,240,40,415
0,80,21,1,-160,240,30,415
0,81,27,0,-150,230,30,415
0,82,8,0,-150,235,20,415
0,83,28,0,-170,235,20,430
0,84,2,1,-165,235,10,430
0,85,57,0,-165,235,10,455
0,86,30,0,-165,235,0,480
0,87,29,0,-185,235,5,480
0,88,17,1,-215,235,20,480
0,89,27,0,-205,225,20,480
0,90,13,0,-205,225,20,500
0,91,25,0,-205,220,20,500
0,92,7,1,-200,220,20,500
0,93,24,0,-205,220,20,500
0,94,23,1,-205,225,15,500
0,95,22,0,-215,225,25,500
0,96,4,1,-205,225,25,500
0,97,36,1,-205,235,25,500
0,98,18,1,-195,235,25,500
0,99,11,0,-200,235,25,500
1,0,29,0,30,50,55,50
1,1,18,0,0,50,55,80
1,2,41,1,5,40,55,80
1,3,22,0,-5,40,65,80
1,4,36,1,-5,50,65,80
1,5,25,1,-5,60,65,80
1,6,18,1,5,60,65,80
1,7,16,1,5,60,55,80
1,8,3,1,-5,60,55,90
1,9,43,0,15,60,45,90
1,10,10,0,5,70,45,90
1,11,4,0,-10,85,45,90
1,12,16,0,-25,95,45,90
1,13,25,0,-25,90,45,90
1,14,43,1,-25,90,50,85
1,15,7,1,-20,90,50,85
1,16,44,1,-15,90,50,85
1,17,14,0,-15,90,50,95
1,18,26,1,-5,90,45,95
1,19,41,0,-15,105,45,95
1,20,39,0,-25,120,45,95
1,21,7,0,-40,130,45,95
1,22,9,1,-35,130,45,95
1,23,26,0,-45,130,45,105
1,24,25,1,-45,140,45,105
1,25,1,0,-35,140,35,105
1,26,3,1,-45,140,35,115
1,27,31,0,-45,150,25,115
1,28,43,1,-45,150,30,110
1,29,4,1,-35,150,30,110
1,30,45,1,-35,160,30,110
1,31,14,1,-35,170,30,110
1,32,11,0,-40,170,30,110
1,33,25,0,-40,165,30,110
1,34,4,0,-55,180,30,110
1,35,28,1,-45,180,30,110
1,36,38,0,-55,190,30,110
1,37,7,1,-50,190,30,110
1,38,57,0,-50,190,30,135
1,39,10,0,-60,200,30,135
1,40,39,0,-70,215,30,135
1,41,29,1,-70,235,10,135
1,42,19,0,-70,235,10,135
1,43,24,1,-65,235,10,135
1,44,16,0,-80,245,10,135
1,45,4,0,-95,260,10,135
1,46,47,1,-95,260,10,135
1,47,26,1,-85,260,5,135
1,48,3,0,-70,260,0,135
1,49,2,0,-80,260,20,135
1,50,46,0,-90,260,20,150
1,51,39,1,-85,260,20,150
1,52,42,0,-100,260,20,165
1,53,48,0,-100,260,20,195
1,54,15,1,-100,265,20,195
1,55,18,1,-90,265,20,195
1,56,17,0,-110,285,20,195
1,57,14,1,-110,295,20,195
1,58,58,0,-110,285,20,195
1,59,15,0,-95,280,20,195
1,60,21,1,-90,280,10,195
1,61,47,0,-90,280,10,210
1,62,32,1,-90,270,25,210
1,63,13,0,-90,270,25,230
1,64,27,1,-90,285,20,230
1,65,45,1,-90,295,20,230
1,66,24,0,-95,295,20,230
1,67,36,0,-95,290,20,245
1,68,8,1,-110,290,20,255
1,69,20,0,-120,290,35,255
1,70,38,0,-130,300,35,255
1,71,28,1,-120,300,35,255
1,72,9,0,-130,300,35,260
1,73,3,1,-140,300,35,270
1,74,36,1,-140,310,35,270
1,75,45,0,-140,310,35,285
1,76,24,0,-145,310,35,285
1,77,11,1,-140,310,35,285
1,78,37,1,-130,310,35,285
1,79,20,1,-130,320,20,285
1,80,25,0,-130,315,20,285
1,81,18,0,-160,315,20,315
1,82,43,1,-160,315,25,310
1,83,23,1,-160,320,20,310
1,84,33,1,-160,335,20,310
1,85,10,0,-170,345,20,310
1,86,45,0,-170,345,20,325
1,87,7,0,-185,355,20,325
1,88,6,1,-195,355,20,335
1,89,24,1,-190,355,20,335
1,90,27,0,-180,345,20,335
1,91,5,0,-190,345,25,335
1,92,23,1,-190,350,20,335
1,93,21,1,-185,350,10,335
1,94,8,0,-185,355,0,335
1,95,26,0,-195,355,0,345
1,96,41,0,-205,370,0,345
1,97,2,1,-200,370,-10,345
1,98,40,1,-200,360,0,345
1,99,36,1,-200,370,0,345
2,0,48,1,50,50,50,50
2,1,16,0,35,60,50,50
2,2,46,1,40,60,50,50
2,3,13,1,45,65,50,50
2,4,38,0,35,75,50,50
2,5,30,0,35,75,40,75
2,6,29,0,15,75,45,75
2,7,36,0,15,70,45,90
2,8,48,0,15,70,45,120
2,9,18,0,-15,70,45,150
2,10,41,1,-10,60,45,150
2,11,30,0,-10,60,35,175
2,12,40,0,-10,70,25,175
2,13,25,1,-10,80,25,175
2,14,15,0,5,75,25,175
2,15,44,1,10,75,25,175
2,16,31,1,10,75,35,175
2,17,48,0,10,75,35,205
2,18,40,0,10,85,25,205
2,19,45,0,10,85,25,220
2,20,39,0,0,100,25,220
2,21,20,0,-10,100,40,220
2,22,27,0,0,90,40,220
2,23,24,0,-5,90,40,220
2,24,13,1,0,95,40,220
2,25,8,0,0,100,30,220
2,26,17,1,-30,100,45,220
2,27,25,1,-30,110,45,220
2,28,37,0,-45,130,45,220
2,29,28,1,-35,130,45,220
2,30,19,0,-35,130,45,220
2,31,11,0,-40,130,45,220
2,32,1,0,-30,130,35,220
2,33,49,0,-30,125,35,235
2,34,40,1,-30,115,45,235
2,35,44,0,-30,115,55,245
2,36,6,1,-40,115,55,255
2,37,15,0,-25,110,55,255
2,38,32,0,-25,130,40,255
2,39,3,1,-35,130,40,265
2,40,24,0,-40,130,40,265
2,41,8,0,-40,135,30,265
2,42,17,0,-60,155,30,265
2,43,1,0,-50,155,20,265
2,44,42,1,-50,160,20,265
2,45,33,0,-20,160,20,265
2,46,9,1,-15,160,20,265
2,47,41,0,-25,175,20,265
2,48,37,1,-15,175,20,265
2,49,10,0,-25,185,20,265
2,50,2,0,-35,185,40,265
2,51,1,0,-25,185,30,265
2,52,4,1,-15,185,30,265
2,53,14,1,-15,195,30,265
2,54,42,1,-15,200,30,265
2,55,8,1,-30,200,30,275
2,56,6,1,-40,200,30,285
2,57,50,1,-40,210,30,285
2,58,4,0,-55,225,30,285
2,59,2,0,-65,225,50,285
2,60,48,0,-65,225,50,315
2,61,22,0,-75,225,60,315
2,62,5,1,-70,225,50,315
2,63,20,0,-80,225,65,315
2,64,15,0,-65,220,65,315
2,65,37,1,-55,220,65,315
2,66,22,1,-55,225,55,315
2,67,12,0,-60,235,55,315
2,68,47,0,-60,235,55,330
2,69,23,1,-60,240,50,330
2,70,51,1,-60,250,50,330
2,71,8,1,-75,250,50,340
2,72,16,0,-90,260,50,340
2,73,18,1,-80,260,50,340
2,74,20,0,-90,260,65,340
2,75,46,0,-100,260,65,355
2,76,39,1,-95,260,65,355
2,77,6,0,-85,260,60,355
2,78,13,1,-80,265,60,355
2,79,48,1,-80,265,60,355
2,80,34,1,-65,265,60,355
2,81,45,1,-65,275,60,355
2,82,47,1,-65,275,60,355
2,83,18,1,-55,275,60,355
2,84,19,1,-55,275,60,355
2,85,29,1,-55,295,40,355
2,86,26,0,-65,295,40,365
2,87,47,0,-65,295,40,380
2,88,42,0,-80,295,40,395
2,89,12,0,-85,305,40,395
2,90,13,0,-85,305,40,415
2,91,9,1,-80,305,40,415
2,92,45,0,-80,305,40,430
2,93,19,0,-80,305,40,430
2,94,2,1,-75,305,30,430
2,95,39,1,-70,305,30,430
2,96,13,0,-70,305,30,450
2,97,10,1,-55,305,20,450
2,98,44,0,-55,305,30,460
2,99,19,1,-55,305,30,460
3,0,21,0,40,50,70,50
3,1,28,0,20,50,70,65
3,2,7,1,25,50,70,65
3,3,24,1,30,50,70,65
3,4,5,1,35,50,60,65
3,5,43,1,35,50,65,60
3,6,49,0,35,45,65,75
3,7,9,1,40,45,65,75
3,8,57,1,40,55,65,75
3,9,46,0,30,55,65,90
3,10,10,0,20,65,65,90
3,11,38,1,25,65,65,90
3,12,4,1,35,65,65,90
3,13,20,0,25,65,80,90
3,14,3,1,15,65,80,100
3,15,25,1,15,75,80,100
3,16,43,0,35,75,70,100
3,17,13,1,40,80,70,100
3,18,14,0,40,80,70,110
3,19,50,1,40,90,70,110
3,20,46,1,45,90,70,110
3,21,40,0,45,100,60,110
3,22,36,0,45,95,60,125
3,23,8,1,30,95,60,135
3,24,21,1,35,95,50,135
3,25,29,1,35,115,30,135
3,26,42,1,35,120,30,135
3,27,47,0,35,120,30,150
3,28,24,1,40,120,30,150
3,29,28,0,20,120,30,165
3,30,43,0,40,120,20,165
3,31,46,0,30,120,20,180
3,32,11,0,25,120,20,180
3,33,17,1,-5,120,35,180
3,34,51,1,-5,130,35,180
3,35,47,0,-5,130,35,195
3,36,9,0,-15,130,35,200
3,37,41,1,-10,120,35,200
3,38,43,0,10,120,25,200
3,39,7,1,15,120,25,200
3,40,4,1,25,120,25,200
3,41,40,0,25,130,15,200
3,42,11,0,20,130,15,200
3,43,58,1,20,140,15,200
3,44,59,1,20,155,15,200
3,45,26,0,10,155,15,210
3,46,46,0,0,155,15,225
3,47,6,0,10,155,10,225
3,48,19,0,10,155,10,225
3,49,29,1,10,175,-10,225
3,50,2,1,15,175,-20,225
3,51,41,0,5,190,-20,225
3,52,20,0,-5,190,-5,225
3,53,17,1,-35,190,10,225
3,54,43,0,-15,190,0,225
3,55,15,0,0,185,0,225
3,56,25,0,0,180,0,225
3,57,27,0,10,170,0,225
3,58,18,1,20,170,0,225
3,59,1,0,30,170,-10,225
3,60,36,0,30,165,-10,240
3,61,44,1,35,165,-10,240
3,62,16,1,35,165,-20,240
3,63,2,0,25,165,0,240
3,64,27,0,35,155,0,240
3,65,37,0,20,175,0,240
3,66,14,1,20,185,0,240
3,67,52,0,40,175,0,240
3,68,26,0,30,175,0,250
3,69,25,0,30,170,0,250
3,70,24,0,25,170,0,250
3,71,10,1,40,170,-10,250
3,72,60,1,40,180,-10,250
3,73,46,1,45,180,-10,250
3,74,15,0,60,175,-10,250
3,75,14,0,60,175,-10,260
3,76,40,0,60,185,-20,260
3,77,4,1,70,185,-20,260
3,78,6,1,60,185,-20,270
3,79,29,1,60,205,-40,270
3,80,44,0,60,205,-30,280
3,81,21,0,50,205,-10,280
3,82,7,1,55,205,-10,280
3,83,37,0,40,225,-10,280
3,84,47,1,40,225,-10,280
3,85,42,1,40,230,-10,280
3,86,43,0,60,230,-20,280
3,87,7,0,45,240,-20,280
3,88,46,1,50,240,-20,280
3,89,19,1,50,240,-20,280
3,90,45,0,50,240,-20,295
3,91,38,1,55,240,-20,295
3,92,42,0,40,240,-20,310
3,93,40,1,40,230,-10,310
3,94,36,1,40,240,-10,310
3,95,15,1,40,245,-10,310
3,96,18,1,50,245,-10,310
3,97,28,0,30,245,-10,325
3,98,12,0,25,255,-10,325
3,99,24,1,30,255,-10,325
4,0,19,1,50,50,50,50
4,1,5,1,55,50,40,50
4,2,11,1,60,50,40,50
4,3,15,1,60,55,40,50
4,4,28,1,70,55,40,50
4,5,48,1,70,55,40,50
4,6,22,0,60,55,50,50
4,7,8,1,45,55,50,60
4,8,9,1,50,55,50,60
4,9,7,1,55,55,50,60
4,10,57,1,55,65,50,60
4,11,47,0,55,65,50,75
4,12,46,1,60,65,50,75
4,13,21,0,50,65,70,75
4,14,13,0,50,65,70,95
4,15,19,1,50,65,70,95
4,16,3,0,65,65,65,95
4,17,38,1,70,65,65,95
4,18,46,0,60,65,65,110
4,19,1,1,50,65,65,115
4,20,43,1,50,65,70,110
4,21,58,1,50,75,70,110
4,22,20,1,50,85,55,110
4,23,59,0,50,85,45,130
4,24,1,0,60,85,35,130
4,25,11,1,65,85,35,130
4,26,26,1,75,85,30,130
4,27,20,1,75,95,15,130
4,28,36,0,75,90,15,145
4,29,28,1,85,90,15,145
4,30,45,0,85,90,15,160
