run,unique_cards,repetitions,final_wealth,final_morale,final_stability,final_progress
0,43,57,-200,235,25,500
1,46,54,-200,370,0,345
2,47,53,-55,305,30,460
3,46,54,30,255,-10,325
4,45,55,-40,245,-25,340
5,48,52,-15,285,35,200
6,45,55,-200,365,5,385
7,43,57,-95,245,25,235
8,43,57,-255,405,80,315
9,48,52,-155,325,75,310
10,46,54,-10,275,0,315
11,49,51,-175,405,35,350
12,43,57,-150,405,-20,300
13,43,57,-110,255,115,410
14,47,53,-100,330,75,365
15,45,55,-135,295,-60,400
16,41,59,-105,450,-40,290
17,48,52,-180,360,-40,440
18,45,55,-180,290,5,375
19,43,57,-150,225,5,370
20,42,58,-205,305,75,270
21,46,54,5,315,-55,360
22,42,58,-110,245,15,345
23,45,55,-115,370,-115,360
24,44,56,0,315,-25,350
25,46,54,-120,325,-50,400
26,45,55,-160,400,-75,375
27,45,55,-120,260,30,445
28,41,59,-405,300,55,445
29,47,53,-95,245,60,350
30,40,60,-190,290,10,370
31,45,55,-240,245,40,440
32,44,56,-275,355,125,360
33,45,55,-100,390,-120,345
34,46,54,-140,275,-55,435
35,44,56,-230,255,50,400
36,45,55,-80,265,35,360
37,46,54,-125,265,60,405
38,44,56,-145,325,-80,440
39,44,56,-270,380,55,405
40,47,53,-115,385,105,320
41,40,60,-180,325,5,260
42,43,57,-250,430,-65,390
43,42,58,-100,325,10,295
44,45,55,-180,290,85,365
45,43,57,-290,350,75,420
46,46,54,-10,310,-25,245
47,43,57,-170,310,15,480
48,44,56,15,170,85,300
49,45,55,-195,365,-110,495
50,44,56,-25,320,-75,325
51,44,56,-300,255,105,510
52,43,57,-55,255,-45,375
53,43,57,-170,320,-60,415
54,42,58,-50,205,-75,405
55,48,52,-125,225,80,380
56,40,60,-155,335,0,250
57,48,52,25,250,-40,460
58,47,53,-100,295,-80,430
59,44,56,-105,380,-60,430
60,51,49,-35,270,105,265
61,45,55,-115,260,55,545
62,45,55,-245,435,-25,335
63,46,54,-130,385,40,255
64,43,57,-240,345,70,365
65,46,54,-115,320,-30,360
66,46,54,-75,320,-65,475
67,40,60,70,185,-20,375
68,45,55,-120,305,-100,400
69,42,58,-175,245,15,390
70,46,54,-100,350,-105,280
71,48,52,-45,200,-15,365
72,45,55,-110,385,-95,445
73,43,57,-85,320,35,355
74,45,55,15,250,30,305
75,44,56,-185,310,50,350
76,46,54,-285,380,25,460
77,48,52,-155,250,-35,520
78,41,59,-265,340,70,340
79,46,54,-285,355,20,340
80,43,57,-220,400,25,290
81,46,54,-35,340,15,270
82,47,53,-135,220,0,450
83,45,55,-185,355,-55,555
84,45,55,-110,290,-45,390
85,44,56,-170,275,50,520
86,41,59,-80,335,35,415
87,49,51,-5,205,-25,300
88,45,55,0,290,-80,355
89,44,56,-205,305,35,410
90,47,53,30,295,-5,400
91,43,57,-25,320,-35,310
92,43,57,-150,225,155,320
93,44,56,-10,275,-65,385
94,45,55,-200,430,-30,360
95,45,55,-75,330,-130,335
96,42,58,50,335,-80,270
97,43,57,25,280,-80,355
98,45,55,-70,190,15,405
99,45,55,-155,395,5,340
