Id;choice;type;target;value;extra
1;left;stat;resources;10;
1;left;stat;moral;-10;
1;right;stat;resources;-10;
1;right;stat;progress;5;
2;left;stat;resources;-10;
2;left;stat;moral;5;
2;right;stat;resources;5;
2;right;stat;moral;-10;
3;left;stat;resources;15;
3;left;stat;moral;-5;
3;right;stat;progress;10;
3;right;stat;resources;-10;
4;left;stat;resources;-15;
4;left;stat;security;15;
4;right;stat;resources;10;
4;right;stat;risk;2;
5;left;stat;resources;-10;
5;left;stat;moral;5;
5;right;stat;moral;-10;
5;right;stat;resources;5;
6;left;stat;resources;10;
6;left;stat;moral;-5;
6;right;stat;resources;-10;
6;right;stat;progress;10;
7;left;stat;resources;-15;
7;left;stat;security;10;
7;right;stat;resources;5;
7;right;stat;risk;1;
8;left;stat;security;5;
8;left;stat;moral;-10;
8;right;stat;resources;-15;
8;right;stat;progress;10;
9;left;stat;resources;-10;
9;left;stat;progress;5;
9;right;stat;risk;1;
9;right;stat;resources;5;
10;left;stat;security;10;
10;left;stat;resources;-10;
10;right;stat;resources;15;
10;right;stat;moral;-10;
11;left;stat;resources;-5;
11;left;stat;risk;-1;
11;right;stat;resources;5;
12;left;stat;security;10;
12;left;stat;resources;-5;
12;right;stat;resources;5;
12;right;stat;risk;1;
13;left;stat;progress;20;
13;left;stat;risk;1;
13;right;stat;resources;5;
13;right;stat;security;5;
14;left;stat;progress;10;
14;left;stat;risk;1;
14;right;stat;security;10;
15;left;stat;resources;15;
15;left;stat;security;-5;
15;right;stat;security;5;
16;left;stat;resources;-15;
16;left;stat;security;10;
16;right;stat;moral;-10;
17;left;stat;security;20;
17;left;stat;resources;-20;
17;right;stat;resources;-30;
17;right;stat;moral;15;
18;left;stat;progress;30;
18;left;stat;resources;-30;
18;right;stat;resources;10;
19;left;unlock;Prosperity Ending;;
19;right;unlock;Alien Relations +10;;
20;left;stat;moral;15;
20;left;stat;resources;-10;
20;right;stat;security;10;
20;right;stat;moral;-15;
21;left;stat;moral;20;
21;left;stat;resources;-10;
21;right;stat;resources;5;
21;right;stat;moral;-10;
22;left;stat;resources;-10;
22;left;stat;moral;10;
22;right;stat;security;5;
22;right;stat;moral;-10;
23;left;stat;progress;10;
23;left;stat;resources;-10;
23;right;stat;security;5;
23;right;stat;moral;-5;
2;left;stat;moral;15;
24;left;stat;resources;-5;
24;right;stat;resources;5;
24;right;stat;risk;1;
25;left;stat;morale;10;
25;left;stat;security;-5;
25;right;stat;security;10;
25;right;stat;morale;-10;
26;left;stat;progress;10;
26;left;stat;resources;-10;
26;right;stat;resources;10;
26;right;stat;moral;-5;
27;left;stat;resources;10;
27;left;stat;security;-10;
27;right;stat;security;15;
27;right;stat;moral;-5;
28;left;stat;resources;-20;
28;left;stat;progress;15;
28;right;stat;resources;10;
29;left;stat;resources;-20;
29;left;stat;moral;5;
29;right;stat;security;20;
29;right;stat;moral;-20;
30;left;stat;progress;25;
30;left;stat;moral;-10;
30;right;stat;moral;10;
31;left;stat;security;10;
31;left;stat;moral;-10;
31;right;stat;moral;10;
31;both;unlock;power_arc;1;
32;left;stat;security;20;
32;left;stat;moral;-15;
