run,card_id,card_frequency
0,25,2
0,30,3
0,48,5
0,19,4
0,24,3
0,8,2
0,11,3
0,42,3
0,14,1
0,1,2
0,5,2
0,40,4
0,7,2
0,46,2
0,47,5
0,13,1
0,10,1
0,57,1
0,21,3
0,49,1
0,9,5
0,18,3
0,27,2
0,20,3
0,29,3
0,31,1
0,26,1
0,4,2
0,41,3
0,58,1
0,22,3
0,45,3
0,17,2
0,15,2
0,12,2
0,59,1
0,37,1
0,60,1
0,36,3
0,6,2
0,39,1
0,3,2
0,23,1
0,61,1
0,32,1
1,22,3
1,2,4
1,20,3
1,42,5
1,1,3
1,7,3
1,49,1
1,27,3
1,13,3
1,17,2
1,8,4
1,37,3
1,47,2
1,16,3
1,14,3
1,36,2
1,5,3
1,23,1
1,38,3
1,3,3
1,24,3
1,31,1
1,50,1
1,39,3
1,45,2
1,46,2
1,18,1
1,19,3
1,25,2
1,30,2
1,4,2
1,48,3
1,10,2
1,15,2
1,9,1
1,6,1
1,51,1
1,40,2
1,28,2
1,52,1
1,11,3
1,26,1
1,53,1
1,44,1
2,21,3
2,11,4
2,43,4
2,41,2
2,24,3
2,29,4
2,31,1
2,13,3
2,45,2
2,40,1
2,26,3
2,1,1
2,5,3
2,15,3
2,12,2
2,3,3
2,27,4
2,19,2
2,25,2
2,57,1
2,7,3
2,14,4
2,42,2
2,22,1
2,44,1
2,10,4
2,48,4
2,47,1
2,8,4
2,46,1
2,6,4
2,28,3
2,20,2
2,37,1
2,30,1
2,17,2
2,18,3
2,58,1
2,39,1
2,38,2
2,59,1
2,36,1
2,16,1
2,60,1
3,2,2
3,26,4
3,36,6
3,38,2
3,15,2
3,4,4
3,41,2
3,39,2
3,9,5
3,29,2
3,16,4
3,3,2
3,44,1
3,40,2
3,48,3
3,22,2
3,31,1
3,25,3
3,43,1
3,24,4
3,47,2
3,28,4
3,46,2
3,32,1
3,8,2
3,30,2
3,33,1
3,23,3
3,1,4
3,13,3
3,19,4
3,45,3
3,57,1
3,37,2
3,21,2
3,27,1
3,18,2
3,34,1
3,42,1
3,10,1
3,17,1
3,35,1
3,20,1
3,12,1
4,6,3
4,17,2
4,28,3
4,47,4
4,49,1
4,43,3
4,26,4
4,41,3
4,18,3
4,37,2
4,23,3
4,50,1
4,12,3
4,27,4
