run,turn,card_id,choice,wealth,morale,stability,progress
0,0,25,1,50,60,50,50
0,1,30,1,50,60,60,50
0,2,48,1,50,60,60,50
0,3,19,0,50,60,60,50
0,4,24,1,55,60,60,50
0,5,8,0,55,65,50,50
0,6,11,0,50,65,50,50
0,7,42,0,35,65,50,65
0,8,14,0,35,65,50,75
0,9,1,1,25,65,50,80
0,10,5,1,30,65,40,80
0,11,40,1,30,55,50,80
0,12,7,1,35,55,50,80
0,13,46,0,25,55,50,95
0,14,47,0,25,55,50,110
0,15,48,0,25,55,50,140
0,16,13,0,25,55,50,160
0,17,10,0,15,65,50,160
0,18,57,0,15,65,50,185
0,19,21,0,5,65,70,185
0,20,46,1,10,65,70,185
0,21,49,1,10,70,70,185
0,22,19,1,10,70,70,185
0,23,9,0,0,70,70,190
0,24,30,1,0,70,80,190
0,25,18,1,10,70,80,190
0,26,27,1,10,85,75,190
0,27,24,0,5,85,75,190
0,28,21,1,10,85,65,190
0,29,5,1,15,85,55,190
0,30,48,1,15,85,55,190
0,31,11,0,10,85,55,190
0,32,20,1,10,95,40,190
0,33,18,0,-20,95,40,220
0,34,29,1,-20,115,20,220
0,35,31,1,-20,115,30,220
0,36,26,0,-30,115,30,230
0,37,4,0,-45,130,30,230
0,38,41,1,-40,120,30,230
0,39,42,0,-55,120,30,245
0,40,27,0,-45,110,30,245
0,41,9,1,-40,110,30,245
0,42,58,0,-40,100,30,245
0,43,22,1,-40,105,20,245
0,44,21,0,-50,105,40,245
0,45,45,1,-50,115,40,245
0,46,25,1,-50,125,40,245
0,47,40,0,-50,135,30,245
0,48,17,0,-70,155,30,245
0,49,15,0,-55,150,30,245
0,50,12,0,-60,160,30,245
0,51,22,0,-70,160,40,245
0,52,4,1,-60,160,40,245
0,53,47,1,-60,160,40,245
0,54,40,1,-60,150,50,245
0,55,41,1,-55,140,50,245
0,56,9,0,-65,140,50,250
0,57,48,1,-65,140,50,250
0,58,59,1,-65,155,50,250
0,59,40,0,-65,165,40,250
0,60,37,0,-80,185,40,250
0,61,9,1,-75,185,40,250
0,62,7,0,-90,195,40,250
0,63,45,1,-90,205,40,250
0,64,60,0,-60,205,40,250
0,65,17,0,-80,225,40,250
0,66,24,1,-75,225,40,250
0,67,8,0,-75,230,30,250
0,68,41,1,-70,220,30,250
0,69,45,0,-70,220,30,265
0,70,12,0,-75,230,30,265
0,71,36,0,-75,225,30,280
0,72,18,1,-65,225,30,280
0,73,11,0,-70,225,30,280
0,74,6,0,-60,225,25,280
0,75,30,1,-60,225,35,280
