run,unique_cards,repetitions,final_wealth,final_morale,final_stability,final_progress
0,45,55,-120,275,35,395
1,44,56,-275,285,130,385
2,44,56,-30,215,-80,470
3,44,56,-95,270,-45,410
4,45,55,-175,395,-55,355
5,46,54,-145,260,0,405
6,47,53,-110,310,20,325
7,44,56,-90,380,15,435
8,41,59,-100,270,15,365
9,45,55,-115,275,75,335
10,47,53,-205,305,-10,405
11,47,53,-55,330,5,300
12,42,58,-105,220,105,305
13,46,54,-55,320,15,235
14,47,53,-155,245,75,440
15,48,52,-105,340,110,300
16,46,54,-140,285,5,420
17,48,52,-100,170,140,350
18,46,54,-130,265,35,420
19,48,52,-55,300,25,300
20,49,51,35,275,-30,345
21,42,58,-130,230,10,375
22,42,58,-90,305,10,350
23,43,57,-165,355,65,285
24,45,55,-285,345,140,400
25,50,50,-75,215,-50,305
26,44,56,-100,430,20,205
27,43,57,-140,315,40,280
28,46,54,-60,165,-20,375
29,45,55,-125,310,40,410
30,45,55,-90,275,-10,410
31,45,55,-15,210,10,385
32,48,52,-25,345,-55,285
33,44,56,-230,385,0,400
34,39,61,-185,415,70,185
35,43,57,-200,375,65,355
36,50,50,-215,235,10,515
37,41,59,-80,215,35,385
38,46,54,-65,350,-120,440
39,47,53,-290,300,60,350
40,48,52,-95,245,70,340
41,42,58,-105,300,-20,435
42,41,59,-75,315,-25,240
43,42,58,-295,345,65,430
44,45,55,-170,475,-25,235
45,43,57,-70,350,-100,335
46,45,55,-5,280,-25,275
47,42,58,-60,255,-25,415
48,42,58,-145,315,70,350
49,43,57,-210,365,-30,420
50,46,54,20,295,-20,325
51,45,55,-115,330,25,360
52,43,57,-20,270,-15,345
53,46,54,-205,215,60,450
54,42,58,-140,315,-15,310
55,43,57,-70,310,5,360
56,47,53,-150,315,5,405
57,43,57,-55,330,-75,235
58,44,56,-245,390,10,275
59,45,55,-325,315,85,440
60,49,51,-40,360,-40,405
61,42,58,85,245,0,335
62,46,54,-105,360,20,335
63,44,56,-175,315,65,380
64,46,54,-125,290,-55,360
65,45,55,-140,430,-5,220
66,44,56,-30,205,40,295
67,46,54,-215,240,45,335
68,47,53,-120,390,-70,380
69,43,57,-165,390,-70,375
70,45,55,-110,350,-45,345
71,45,55,-125,195,80,410
72,42,58,-115,295,15,340
73,39,61,-120,280,-35,340
74,40,60,-115,310,-110,300
75,43,57,-75,390,-145,215
76,41,59,20,255,-35,305
77,47,53,-130,360,-35,380
78,44,56,-125,295,-40,355
79,46,54,-65,330,-45,260
80,42,58,-40,345,-25,255
81,42,58,-70,240,-10,390
82,45,55,-195,360,-30,360
83,44,56,-40,290,55,345
84,42,58,-140,370,30,320
85,42,58,-295,375,15,455
86,42,58,-180,265,30,370
87,46,54,-260,260,30,595
88,48,52,-65,240,50,435
89,44,56,-60,300,40,315
90,44,56,-280,395,-15,345
91,45,55,-185,320,-25,400
92,43,57,50,280,-110,305
93,46,54,-190,230,110,375
94,40,60,-225,280,30,330
95,46,54,-95,335,-5,270
96,46,54,-190,295,-5,360
97,44,56,-70,430,-115,275
98,47,53,-125,315,40,260
99,42,58,-175,330,40,350
